rn,hsmpSn,rtsSe,rtsInsttId,detailSn,rthousSe,rnAdres,houseTy,houseTyNm,hsmpNm,pnu,hshldCo,rnNm,atchFileId,suplyTy,suplyTyNm,insttDc,url,invntryAssetsAt,x,y
1,31201887,01,D168001,Off,B,충청남도 천안시 서북구 쌍용17길 52,11,아파트,매입다가구(충남천안시),4413310700112730000,1,쌍용17길52,FLE00018696,04,매입임대,LH대전충남,http://www.lh.or.kr,Y,127.122491325299,36.7959393978773
2,30700531,01,D168001,Off,D,충청남도 아산시 순천향로 602,11,아파트,아산엘크루,4420010600104530000,48,순천향로602,XXX,05,10년임대,LH대전충남,http://www.lh.or.kr,Y,126.988961381621,36.7511563401511
3,30700248,01,D168001,Off,C,충청남도 아산시 문화로 301-16,11,아파트,아산모종주공아파트,4420011300106220000,642,문화로301-16,FLE00005099,02,국민임대,LH대전충남,http://www.lh.or.kr,Y,127.018038280977,36.7861636969289
4,30700256,01,D168001,Off,C,충청남도 아산시 배방읍 용연로 36,11,아파트,용연마을휴먼시아1단지아파트,4420025331112050000,915,용연로36,FLE00005050,02,국민임대,LH대전충남,http://www.lh.or.kr,Y,127.089923000549,36.7934833857638
5,30700260,01,D168001,Off,D,충청남도 서산시 갓고개길 14,11,아파트,서산세창,4421010300101920000,34,갓고개길14,XXX,05,10년임대,LH대전충남,http://www.lh.or.kr,Y,126.43266382845,36.7867825128723
6,30700262,01,D168001,Off,D,충청남도 부여군 규암면 흥수로 771-5,11,아파트,부여무지개,4476031021103210000,136,흥수로771-5,XXX,02,국민임대,LH대전충남,http://www.lh.or.kr,Y,126.866552704666,36.2730683787138
7,30700097,01,D168001,Off,D,충청남도 천안시 동남구 병천면 충절로 1638,11,아파트,신한아파트,4413136021100680003,300,충절로1638,FLE00005072,02,국민임대,LH대전충남,http://www.lh.or.kr,Y,127.287828775293,36.7655494419324
8,30700098,01,D168001,Off,C,충청남도 공주시 우금티로 709-12,11,아파트,공주옥룡주공1차아파트,4415010900101230000,592,우금티로709-12,FLE00006368,01,영구임대,LH대전충남,http://www.lh.or.kr,Y,127.134493500781,36.448159285826
9,30699440,01,D168001,Off,D,충청남도 금산군 금산읍 약초로 18,11,아파트,낙원아파트,4471025022100210021,10,약초로18,XXX,02,국민임대,LH대전충남,http://www.lh.or.kr,Y,127.495986638102,36.098684303371
10,30700292,01,D168001,Off,C,충청남도 태안군 태안읍 동평로 42,11,아파트,태안평천 휴먼시아2단지,4482525027107370000,531,동평로42,FLE00004879,02,국민임대,LH대전충남,http://www.lh.or.kr,Y,null,null
11,30699477,01,D168001,Off,D,충청남도 공주시 원댕이길 8,11,아파트,공주영우마을1단지(부도),4415011000100790001,12,원댕이길8,XXX,02,국민임대,LH대전충남,http://www.lh.or.kr,Y,127.128103407477,36.4422935204608
12,31106325,01,D168001,Off,C,충청남도 공주시 무령로 600-25,11,아파트,공주월송 A3BL,4415011900106190000,120,무령로600-25,XXX,01,영구임대,LH대전충남,http://www.lh.or.kr,Y,127.155221268873,36.4752327419475
13,31128810,01,D168001,Off,D,충청남도 아산시 신창면 행목로 217,11,아파트,아산친오애아파트,4420041025104970000,4,행목로217,XXX,05,10년임대,LH대전충남,http://www.lh.or.kr,Y,126.953979754179,36.7829892477701
