0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
아산엘크루,10년임대,충청남도 아산시 순천향로 602,2011-05-02,48,아파트,계단식,개별가스난방,전체동 설치,LH대전충남,84.68㎡,24.94㎡,"86,517,000원",0원,0원
아산모종주공아파트,국민임대,충청남도 아산시 문화로 301-16,2006-06-16,642,아파트,복도식,개별가스난방,전체동 설치,LH대전충남,46.71㎡,20.23㎡,"24,971,000원","123,300원","12,000,000원"
아산모종주공아파트,국민임대,충청남도 아산시 문화로 301-16,2006-06-16,642,아파트,복도식,개별가스난방,전체동 설치,LH대전충남,39.84㎡,17.25㎡,"22,235,000원","97,350원","7,000,000원"
용연마을휴먼시아1단지아파트,국민임대,충청남도 아산시 배방읍 용연로 36,2008-09-25,915,아파트,복도식,지역난방,전체동 설치,LH대전충남,51.51㎡,23.41㎡,"31,157,000원","168,750원","20,000,000원"
용연마을휴먼시아1단지아파트,국민임대,충청남도 아산시 배방읍 용연로 36,2008-09-25,915,아파트,복도식,지역난방,전체동 설치,LH대전충남,36.94㎡,18.08㎡,"16,875,000원","90,860원","6,000,000원"
용연마을휴먼시아1단지아파트,국민임대,충청남도 아산시 배방읍 용연로 36,2008-09-25,915,아파트,복도식,지역난방,전체동 설치,LH대전충남,36.96㎡,17.57㎡,"16,875,000원","90,860원","6,000,000원"
용연마을휴먼시아1단지아파트,국민임대,충청남도 아산시 배방읍 용연로 36,2008-09-25,915,아파트,복도식,지역난방,전체동 설치,LH대전충남,36.98㎡,17.09㎡,"16,875,000원","90,860원","6,000,000원"
용연마을휴먼시아1단지아파트,국민임대,충청남도 아산시 배방읍 용연로 36,2008-09-25,915,아파트,복도식,지역난방,전체동 설치,LH대전충남,46.67㎡,21.38㎡,"25,964,000원","136,310원","15,000,000원"
용연마을휴먼시아1단지아파트,국민임대,충청남도 아산시 배방읍 용연로 36,2008-09-25,915,아파트,복도식,지역난방,전체동 설치,LH대전충남,46.81㎡,21.34㎡,"25,964,000원","136,310원","15,000,000원"
용연마을휴먼시아1단지아파트,국민임대,충청남도 아산시 배방읍 용연로 36,2008-09-25,915,아파트,복도식,지역난방,전체동 설치,LH대전충남,46.88㎡,21.17㎡,"25,964,000원","136,310원","15,000,000원"
용연마을휴먼시아1단지아파트,국민임대,충청남도 아산시 배방읍 용연로 36,2008-09-25,915,아파트,복도식,지역난방,전체동 설치,LH대전충남,51.51㎡,23.37㎡,"31,157,000원","168,750원","20,000,000원"
서산세창,10년임대,충청남도 서산시 갓고개길 14,2009-12-31,34,아파트,계단식,개별가스난방,전체동 설치,LH대전충남,84.77㎡,18.35㎡,0원,0원,0원
부여무지개,국민임대,충청남도 부여군 규암면 흥수로 771-5,2009-11-01,136,아파트,,,,LH대전충남,59.95㎡,22.79㎡,"17,602,000원","97,360원","7,000,000원"
부여무지개,국민임대,충청남도 부여군 규암면 흥수로 771-5,2009-11-01,136,아파트,,,,LH대전충남,49.53㎡,20.91㎡,"13,107,000원","72,400원","2,000,000원"
신한아파트,국민임대,충청남도 천안시 동남구 병천면 충절로 1638,1997-02-25,300,아파트,복도식,개별가스난방,전체동 설치,LH대전충남,49.77㎡,13.89㎡,"14,981,000원","99,850원","7,000,000원"
신한아파트,국민임대,충청남도 천안시 동남구 병천면 충절로 1638,1997-02-25,300,아파트,복도식,개별가스난방,전체동 설치,LH대전충남,38.64㎡,9.98㎡,"9,985,000원","62,400원",0원
신한아파트,국민임대,충청남도 천안시 동남구 병천면 충절로 1638,1997-02-25,300,아파트,복도식,개별가스난방,전체동 설치,LH대전충남,42.54㎡,10.33㎡,"11,858,000원","74,890원","2,000,000원"
공주옥룡주공1차아파트,영구임대,충청남도 공주시 우금티로 709-12,1993-05-03,592,아파트,복도식,중앙가스난방,전체동 설치,LH대전충남,31.32㎡,13.94㎡,"3,731,000원","83,020원",0원
공주옥룡주공1차아파트,영구임대,충청남도 공주시 우금티로 709-12,1993-05-03,592,아파트,복도식,중앙가스난방,전체동 설치,LH대전충남,26.37㎡,13.47㎡,"3,141,000원","69,900원","9,000,000원"
공주옥룡주공1차아파트,영구임대,충청남도 공주시 우금티로 709-12,1993-05-03,592,아파트,복도식,중앙가스난방,전체동 설치,LH대전충남,26.37㎡,13.5㎡,"3,141,000원","69,900원",0원
낙원아파트,국민임대,충청남도 금산군 금산읍 약초로 18,,10,아파트,복도식,개별가스난방,,LH대전충남,49.65㎡,14.81㎡,"19,373,000원","107,230원","9,000,000원"
태안평천 휴먼시아2단지,국민임대,충청남도 태안군 태안읍 동평로 42,,531,아파트,복도식,개별가스난방,전체동 설치,LH대전충남,51.88㎡,25.32㎡,"21,027,000원","168,210원","20,000,000원"
