rn,hsmpSn,rtsSe,rtsInsttId,detailSn,rthousSe,rnAdres,houseTy,houseTyNm,hsmpNm,pnu,hshldCo,rnNm,atchFileId,suplyTy,suplyTyNm,insttDc,url,invntryAssetsAt,x,y
1,30699528,01,D168011,Off,C,경상북도 고령군 다산면 상곡길 28,11,아파트,고령다산주공1차아파트,4783034034101620007,290,상곡길28,FLE00004721,02,국민임대,LH대구경북,http://www.lh.or.kr,Y,128.449521609223,35.8229480027825
2,30699545,01,D168011,Off,C,경상북도 경산시 남매로6길 7,11,아파트,경산상방,4729010500102920000,528,남매로6길7,FLE00004687,02,국민임대,LH대구경북,http://www.lh.or.kr,Y,128.74184093028,35.8132659460397
3,30699551,01,D168011,Off,C,경상북도 김천시 무실7길 38,11,아파트,김천덕곡주공아파트,4715011600107670000,594,무실7길38,FLE00004692,02,국민임대,LH대구경북,http://www.lh.or.kr,Y,128.157031599408,36.1125244263278
4,30700189,01,D168011,Off,C,경상북도 경주시 현곡면 안현로 43-6,11,아파트,금장주공아파트,4713036027103840008,526,안현로43-6,FLE00006125,02,국민임대,LH대구경북,http://www.lh.or.kr,Y,129.203187164223,35.8714668742761
5,30700192,01,D168011,Off,C,경상북도 영주시 대학로 130,11,아파트,영주가흥주공,4721010500113850000,296,대학로130,FLE00006129,03,50년임대,LH대구경북,http://www.lh.or.kr,Y,128.611266636696,36.8087706214741
6,30700196,01,D168011,Off,C,경상북도 김천시 문지왈길 68,11,아파트,부곡주공2차아파트,4715011400113280000,388,문지왈길68,FLE00004703,01,영구임대,LH대구경북,http://www.lh.or.kr,Y,128.088214618449,36.1209742772703
7,30700197,01,D168011,Off,C,경상북도 김천시 시청로 93,11,아파트,김천대신휴먼시아,4715010800113130000,422,시청로93,FLE00004693,02,국민임대,LH대구경북,http://www.lh.or.kr,Y,128.116104179312,36.1364555071517
8,30700198,01,D168011,Off,C,경상북도 경산시 경청로222길 7,11,아파트,경산백천주공,4729010600105700000,388,경청로222길7,FLE00004686,01,영구임대,LH대구경북,http://www.lh.or.kr,Y,128.740283394553,35.8040460298554
9,30699595,01,D168011,Off,D,경상북도 청송군 청송읍 길안청송로 1657,11,아파트,진우하이츠아파트,4775025022102550000,203,길안청송로1657,FLE00006128,02,국민임대,LH대구경북,http://www.lh.or.kr,Y,129.045046875248,36.4345953131878
10,30699431,01,D168011,Off,D,경상북도 포항시 남구 연일읍 동문로40번길 43,11,아파트,대궁빌라,4711125324102820003,38,동문로40번길43,FLE00006078,02,국민임대,LH대구경북,http://www.lh.or.kr,Y,129.356272973892,35.9922208089511
11,30699621,01,D168011,Off,D,경상북도 포항시 남구 오천읍 문덕로12번길 23,11,아파트,포항태웅하이츠,4711125622102680003,6,문덕로12번길23,FLE00006098,02,국민임대,LH대구경북,http://www.lh.or.kr,Y,129.400491592087,35.9616458336285
12,30699626,01,D168011,Off,D,경상북도 포항시 남구 오천읍 오어로 303,11,아파트,포항보광그린파크,4711125626102550000,174,오어로303,FLE00006099,02,국민임대,LH대구경북,http://www.lh.or.kr,Y,129.39273345505,35.9389401148431
13,30699646,01,D168011,Off,D,경상북도 영주시 원당로275번길 31-1,11,아파트,영주장미마을아파트,4721010200106450004,29,원당로275번길31-1,XXX,02,국민임대,LH대구경북,http://www.lh.or.kr,Y,128.638060016489,36.8340998194607
14,30700311,01,D168011,Off,C,경상북도 고령군 다산면 평리6길 30,11,아파트,고령다산휴먼시아 3단지,4783034033103570000,474,평리6길30,FLE00004722,02,국민임대,LH대구경북,http://www.lh.or.kr,Y,128.453247939663,35.8292262837613
15,30700329,01,D168011,Off,C,경상북도 구미시 옥계북로 43-52,11,아파트,구미옥계 휴먼시아2단지,4719012800109050000,998,옥계북로43-52,FLE00004808,02,국민임대,LH대구경북,http://www.lh.or.kr,Y,128.42420916853,36.1421889599889
