0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
고령다산주공1차아파트,국민임대,경상북도 고령군 다산면 상곡길 28,2005-12-05,290,아파트,계단식,개별가스난방,전체동 설치,LH대구경북,59.99㎡,20.15㎡,"25,419,000원","121,980원","12,000,000원"
고령다산주공1차아파트,국민임대,경상북도 고령군 다산면 상곡길 28,2005-12-05,290,아파트,계단식,개별가스난방,전체동 설치,LH대구경북,51.66㎡,17.91㎡,"22,876,000원","96,580원","7,000,000원"
경산상방,국민임대,경상북도 경산시 남매로6길 7,2006-12-07,528,아파트,혼합식,개별가스난방,전체동 설치,LH대구경북,59.99㎡,20.30㎡,"26,217,000원","212,210원","25,000,000원"
경산상방,국민임대,경상북도 경산시 남매로6길 7,2006-12-07,528,아파트,혼합식,개별가스난방,전체동 설치,LH대구경북,46.61㎡,15.77㎡,"16,229,000원","121,070원","12,000,000원"
경산상방,국민임대,경상북도 경산시 남매로6길 7,2006-12-07,528,아파트,혼합식,개별가스난방,전체동 설치,LH대구경북,46.67㎡,15.79㎡,"16,229,000원","121,070원","12,000,000원"
경산상방,국민임대,경상북도 경산시 남매로6길 7,2006-12-07,528,아파트,혼합식,개별가스난방,전체동 설치,LH대구경북,51.86㎡,17.54㎡,"19,973,000원","184,760원","22,000,000원"
경산상방,국민임대,경상북도 경산시 남매로6길 7,2006-12-07,528,아파트,혼합식,개별가스난방,전체동 설치,LH대구경북,51.86㎡,18.30㎡,"19,973,000원","184,760원","22,000,000원"
경산상방,국민임대,경상북도 경산시 남매로6길 7,2006-12-07,528,아파트,혼합식,개별가스난방,전체동 설치,LH대구경북,59.99㎡,20.02㎡,"26,217,000원","212,210원","25,000,000원"
김천덕곡주공아파트,국민임대,경상북도 김천시 무실7길 38,2006-09-29,594,아파트,복도식,개별가스난방,전체동 설치,LH대구경북,59.88㎡,23.32㎡,"21,221,000원","163,530원","19,000,000원"
김천덕곡주공아파트,국민임대,경상북도 김천시 무실7길 38,2006-09-29,594,아파트,복도식,개별가스난방,전체동 설치,LH대구경북,36.66㎡,14.27㎡,"8,738,000원","86,140원","5,000,000원"
김천덕곡주공아파트,국민임대,경상북도 김천시 무실7길 38,2006-09-29,594,아파트,복도식,개별가스난방,전체동 설치,LH대구경북,51.93㎡,20.22㎡,"18,101,000원","127,320원","13,000,000원"
