rn,hsmpSn,rtsSe,rtsInsttId,detailSn,rthousSe,rnAdres,houseTy,houseTyNm,hsmpNm,pnu,hshldCo,rnNm,atchFileId,suplyTy,suplyTyNm,insttDc,url,invntryAssetsAt,x,y
1,30699853,01,D168369,Off,C,경기도 용인시 기흥구 새천년로16번길 16,11,아파트,녹원마을새천년그린빌주공3단지아파트,4146310100107070000,693,새천년로16번길16,FLE00005806,02,국민임대,LH경기,http://www.lh.or.kr,Y,127.110895105338,37.2878272938644
2,30699863,01,D168369,Off,C,경기도 용인시 기흥구 한보라2로 168,11,아파트,한보라마을7단지휴먼시아아파트,4146310700106740000,851,한보라2로168,FLE00005879,02,국민임대,LH경기,http://www.lh.or.kr,Y,127.109666477569,37.2454440151779
3,30699866,01,D168369,Off,C,경기도 화성시 봉담읍 동화새터길 118,11,아파트,동화마을 휴먼시아 4단지,4159025324106030000,480,동화새터길118,XXX,02,국민임대,LH경기,http://www.lh.or.kr,Y,126.961217523441,37.2160488724499
4,30699877,01,D168369,Off,C,경기도 용인시 기흥구 흥덕1로79번길 7,11,아파트,흥덕마을휴먼시아1단지아파트(101동~109동),4146311100109800000,742,흥덕1로79번길7,FLE00005877,02,국민임대,LH경기,http://www.lh.or.kr,Y,127.070922445003,37.2753749673633
5,30699878,01,D168369,Off,C,경기도 용인시 기흥구 흥덕1로79번길 7,11,아파트,흥덕마을휴먼시아1단지아파트(110동~115동),4146311100109800000,512,흥덕1로79번길7,FLE00005876,02,국민임대,LH경기,http://www.lh.or.kr,Y,127.070922445003,37.2753749673633
6,30699879,01,D168369,Off,C,경기도 용인시 기흥구 흥덕2로 80,11,아파트,흥덕마을 휴먼시아 3단지 아파트,4146311100110220000,866,흥덕2로80,FLE00005883,02,국민임대,LH경기,http://www.lh.or.kr,Y,127.074310129902,37.2744148370775
7,30700370,01,D168341,Off,C,경기도 파주시 문산읍 당동1로 12-1,11,아파트,문산당동 4단지,4148025022109080000,299,당동1로12-1,FLE00005810,02,국민임대,LH인천,http://www.lh.or.kr,Y,126.779055874749,37.8631471639531
8,30700373,01,D168291,Off,C,경기도 의정부시 오목로 251,11,아파트,부용마을3단지,4115010700107120000,913,오목로251,FLE00004993,02,국민임대,LH서울,http://www.lh.or.kr,Y,127.099962729791,37.7485203743638
9,30699572,01,D168291,Off,C,경기도 남양주시 퇴계원읍 퇴계원로 120-11,11,아파트,남양주 퇴계원 주공3단지,4136026521103670000,330,퇴계원로120-11,XXX,02,국민임대,LH서울,http://www.lh.or.kr,Y,127.145033859234,37.658178536593
10,30699885,01,D168369,Off,C,경기도 화성시 동탄중앙로 119-14,11,아파트,새강마을 휴먼시아 5-1단지,4159012700101410000,48,동탄중앙로119-14,XXX,05,10년임대,LH경기,http://www.lh.or.kr,Y,127.067948007378,37.1955628145398
1,30699853,01,D168369,Off,C,경기도 용인시 기흥구 새천년로16번길 16,11,아파트,녹원마을새천년그린빌주공3단지아파트,4146310100107070000,693,새천년로16번길16,FLE00005806,02,국민임대,LH경기,http://www.lh.or.kr,Y,127.110895105338,37.2878272938644
