0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
녹원마을새천년그린빌주공3단지아파트,국민임대,경기도 용인시 기흥구 새천년로16번길 16,2006-03-20,693,아파트,복도식,지역유류난방,전체동 설치,LH경기,45.53㎡,22.80㎡,"20,333,000원","205,880원","24,000,000원"
녹원마을새천년그린빌주공3단지아파트,국민임대,경기도 용인시 기흥구 새천년로16번길 16,2006-03-20,693,아파트,복도식,지역유류난방,전체동 설치,LH경기,36.57㎡,18.31㎡,"15,250,000원","165,200원","19,000,000원"
녹원마을새천년그린빌주공3단지아파트,국민임대,경기도 용인시 기흥구 새천년로16번길 16,2006-03-20,693,아파트,복도식,지역유류난방,전체동 설치,LH경기,36.78㎡,18.42㎡,"15,250,000원","165,200원","19,000,000원"
한보라마을7단지휴먼시아아파트,국민임대,경기도 용인시 기흥구 한보라2로 168,2006-11-24,851,아파트,혼합식,지역난방,전체동 설치,LH경기,59.99㎡,25.32㎡,"25,343,000원","291,500원","34,000,000원"
한보라마을7단지휴먼시아아파트,국민임대,경기도 용인시 기흥구 한보라2로 168,2006-11-24,851,아파트,혼합식,지역난방,전체동 설치,LH경기,36.92㎡,15.58㎡,"11,234,000원","140,690원","16,000,000원"
한보라마을7단지휴먼시아아파트,국민임대,경기도 용인시 기흥구 한보라2로 168,2006-11-24,851,아파트,혼합식,지역난방,전체동 설치,LH경기,46.82㎡,19.76㎡,"15,729,000원","188,260원","22,000,000원"
한보라마을7단지휴먼시아아파트,국민임대,경기도 용인시 기흥구 한보라2로 168,2006-11-24,851,아파트,혼합식,지역난방,전체동 설치,LH경기,46.83㎡,19.77㎡,"15,729,000원","188,260원","22,000,000원"
한보라마을7단지휴먼시아아파트,국민임대,경기도 용인시 기흥구 한보라2로 168,2006-11-24,851,아파트,혼합식,지역난방,전체동 설치,LH경기,51.9㎡,21.91㎡,"21,971,000원","244,060원","29,000,000원"
한보라마을7단지휴먼시아아파트,국민임대,경기도 용인시 기흥구 한보라2로 168,2006-11-24,851,아파트,혼합식,지역난방,전체동 설치,LH경기,59.88㎡,25.28㎡,"25,343,000원","291,500원","34,000,000원"
동화마을 휴먼시아 4단지,국민임대,경기도 화성시 봉담읍 동화새터길 118,2007-11-07,480,아파트,혼합식,개별가스난방,전체동 설치,LH경기,59.57㎡,23.89㎡,"30,969,000원","257,660원","30,000,000원"
동화마을 휴먼시아 4단지,국민임대,경기도 화성시 봉담읍 동화새터길 118,2007-11-07,480,아파트,혼합식,개별가스난방,전체동 설치,LH경기,51.7㎡,20.73㎡,"24,278,000원","201,900원","24,000,000원"
동화마을 휴먼시아 4단지,국민임대,경기도 화성시 봉담읍 동화새터길 118,2007-11-07,480,아파트,혼합식,개별가스난방,전체동 설치,LH경기,51.92㎡,20.82㎡,"24,278,000원","201,900원","24,000,000원"
흥덕마을휴먼시아1단지아파트(101동~109동),국민임대,경기도 용인시 기흥구 흥덕1로79번길 7,2009-02-06,742,아파트,혼합식,지역난방,전체동 설치,LH경기,51.93㎡,24.84㎡,"43,819,000원","275,900원","33,000,000원"
흥덕마을휴먼시아1단지아파트(101동~109동),국민임대,경기도 용인시 기흥구 흥덕1로79번길 7,2009-02-06,742,아파트,혼합식,지역난방,전체동 설치,LH경기,36.65㎡,17.53㎡,"18,476,000원","154,790원","18,000,000원"
흥덕마을휴먼시아1단지아파트(101동~109동),국민임대,경기도 용인시 기흥구 흥덕1로79번길 7,2009-02-06,742,아파트,혼합식,지역난방,전체동 설치,LH경기,46.9㎡,22.43㎡,"34,082,000원","232,200원","27,000,000원"
흥덕마을휴먼시아1단지아파트(110동~115동),국민임대,경기도 용인시 기흥구 흥덕1로79번길 7,2009-02-06,512,아파트,혼합식,지역난방,전체동 설치,LH경기,51.93㎡,24.54㎡,"43,819,000원","275,900원","33,000,000원"
흥덕마을휴먼시아1단지아파트(110동~115동),국민임대,경기도 용인시 기흥구 흥덕1로79번길 7,2009-02-06,512,아파트,혼합식,지역난방,전체동 설치,LH경기,36.65㎡,17.32㎡,"18,476,000원","154,790원","18,000,000원"
흥덕마을휴먼시아1단지아파트(110동~115동),국민임대,경기도 용인시 기흥구 흥덕1로79번길 7,2009-02-06,512,아파트,혼합식,지역난방,전체동 설치,LH경기,46.9㎡,22.08㎡,"34,082,000원","232,200원","27,000,000원"
흥덕마을휴먼시아1단지아파트(110동~115동),국민임대,경기도 용인시 기흥구 흥덕1로79번길 7,2009-02-06,512,아파트,혼합식,지역난방,전체동 설치,LH경기,46.9㎡,22.16㎡,"34,082,000원","232,200원","27,000,000원"
