rn,hsmpSn,rtsSe,rtsInsttId,detailSn,rthousSe,rnAdres,houseTy,houseTyNm,hsmpNm,pnu,hshldCo,rnNm,atchFileId,suplyTy,suplyTyNm,insttDc,url,invntryAssetsAt,x,y
1,73966,04,5670000,Off,C,경상남도 창원시 의창구 북면 감계로 222,11,아파트,천수림아파트,4812131028102520001,168,감계로222,XXX,01,영구임대,창원시,http://www.changwon.go.kr,Y,128.58769149456,35.3010042230937
2,30699715,01,D168525,Off,C,경상남도 김해시 율하2로 164,11,아파트,율현마을 주공 13단지아파트,4825013100114030000,1267,율하2로164,FLE00005162,02,국민임대,LH경남,http://www.lh.or.kr,Y,128.81732105458,35.1676745929462
3,30700210,01,D168525,Off,C,경상남도 창원시 마산회원구 내서읍 삼계2길 24,11,아파트,삼계 주공2단지아파트,4812725028100390000,385,삼계2길24,FLE00004706,03,50년임대,LH경남,http://www.lh.or.kr,Y,128.503559829499,35.2294194695676
4,30700217,01,D168525,Off,C,경상남도 김해시 능동로 76,11,아파트,젤미마을 주공2단지,4825012800100610003,594,능동로76,FLE00004680,02,국민임대,LH경남,http://www.lh.or.kr,Y,128.802132160197,35.1975805707181
5,30700222,01,D168525,Off,C,경상남도 창녕군 창녕읍 말흘5길 33,11,아파트,창녕주공아파트,4874025023102890000,338,말흘5길33,FLE00004679,02,국민임대,LH경남,http://www.lh.or.kr,Y,128.50400963611,35.5364082478978
6,30699756,01,D168525,Off,C,경상남도 창원시 의창구 원이대로82번길 15-15,11,아파트,도계휴먼시아아파트,4812110500104690000,504,원이대로82번길15-15,FLE00005167,02,국민임대,LH경남,http://www.lh.or.kr,Y,128.635600029685,35.2550517658125
7,30699609,01,D168525,Off,C,경상남도 고성군 고성읍 동외로47번길 12,11,아파트,고성동외 주공아파트,4882025024105670000,409,동외로47번길12,FLE00006149,02,국민임대,LH경남,http://www.lh.or.kr,Y,128.329918852776,34.9669895630501
8,30705726,01,D168525,Off,D,경상남도 창원시 성산구 창원대로780번길 34,11,아파트,창원월드메르디앙이스턴애비뉴아파트,4812310400108530016,3,창원대로780번길34,XXX,05,10년임대,LH경남,http://www.lh.or.kr,Y,128.676594444157,35.2132511382997
9,30705727,01,D168525,Off,D,경상남도 창원시 성산구 창원대로780번길 34,11,아파트,창원월드메르디앙이스턴애비뉴아파트,4812310400108530016,2,창원대로780번길34,XXX,05,10년임대,LH경남,http://www.lh.or.kr,Y,128.676594444157,35.2132511382997
10,31111004,01,D168525,Off,D,경상남도 창원시 성산구 창원대로780번길 34,11,아파트,창원월드메르디앙이스턴애비뉴아파트,4812310400108530016,1,창원대로780번길34,XXX,05,10년임대,LH경남,http://www.lh.or.kr,Y,128.676594444157,35.2132511382997
11,31116330,01,D168525,Off,C,경상남도 창원시 진해구 냉천로 192,11,아파트,창원자은3 LH천년나무,4812914200101330000,700,냉천로192,XXX,02,국민임대,LH경남,http://www.lh.or.kr,Y,128.717019182173,35.15600426047
12,31128676,01,D168525,Off,D,경상남도 김해시 김해대로 1784-27,11,아파트,김해북부 두산위브 아파트,4825010700104010000,9,김해대로1784-27,XXX,05,10년임대,LH경남,http://www.lh.or.kr,Y,128.861265810608,35.2661086159375
13,31128683,01,D168525,Off,D,경상남도 양산시 평산로 116,11,아파트,한일유앤아이아파트,4833011900106000000,22,평산로116,XXX,05,10년임대,LH경남,http://www.lh.or.kr,Y,129.142252916303,35.3830400362684
14,31128838,01,D168525,Off,D,경상남도 양산시 삼호로 98,11,아파트,유승한내들,4833011400108570000,7,삼호로98,XXX,05,10년임대,LH경남,http://www.lh.or.kr,Y,129.17422239369,35.4080938064947
15,31128698,01,D168525,Off,D,경상남도 창원시 진해구 자은로64번가길 26,11,아파트,자은동월드메르디앙,4812914200102840001,4,자은로64번가길26,XXX,05,10년임대,LH경남,http://www.lh.or.kr,Y,128.711534052079,35.1515177485518
16,31128711,01,D168525,Off,D,경상남도 양산시 삼호로 98,11,아파트,유승한내들,4833011400108570000,3,삼호로98,XXX,05,10년임대,LH경남,http://www.lh.or.kr,Y,129.17422239369,35.4080938064947
17,31220424,01,D168525,Off,D,경상남도 통영시 북신로 22,11,아파트,통영북신(해모로 오션힐)재개발 매입,4822011000107140000,73,북신로22,XXX,09,행복주택,LH경남,http://www.lh.or.kr,Y,128.427602474957,34.8532864043313
18,31267288,01,D168525,Off,B,경상남도 양산시 물금읍 범어로 33,11,아파트,매입다가구(경남양산시),4833025324126760013,1,범어로33,XXX,04,매입임대,LH경남,http://www.lh.or.kr,Y,129.012264467811,35.3311159932661
19,31267293,01,D168525,Off,B,경상남도 양산시 평산로 101-20,11,아파트,매입다가구(경남양산시),4833011900112020000,1,평산로101-20,XXX,04,매입임대,LH경남,http://www.lh.or.kr,Y,129.14397207417,35.3810545298618
20,31267304,01,D168525,Off,B,경상남도 창원시 의창구 북면 감계로 233,11,아파트,매입다가구(경남창원시),4812131028102250001,1,감계로233,FLE00020522,04,매입임대,LH경남,http://www.lh.or.kr,Y,128.586030198593,35.3022524145096
21,31266746,01,D168525,Off,B,경상남도 양산시 소주회야로 93,11,아파트,매입다가구(경남양산시),4833011700101500000,1,소주회야로93,XXX,04,매입임대,LH경남,http://www.lh.or.kr,Y,129.161356291775,35.4103887808997
22,31267337,01,D168525,Off,B,경상남도 창원시 마산합포구 진동면 진북산업로 55,11,아파트,매입다가구(경남창원시),4812532024104240000,1,진북산업로55,FLE00020533,04,매입임대,LH경남,http://www.lh.or.kr,Y,128.487800741611,35.1208510615643
23,31267340,01,D168525,Off,B,경상남도 양산시 물금읍 범어로 33,11,아파트,매입다가구(경남양산시),4833025324126760013,1,범어로33,XXX,04,매입임대,LH경남,http://www.lh.or.kr,Y,129.012264467811,35.3311159932661
24,31266773,01,D168525,Off,B,경상남도 양산시 물금읍 신주로 16,11,아파트,매입다가구(경남양산시),4833025324126760001,1,신주로16,XXX,04,매입임대,LH경남,http://www.lh.or.kr,Y,129.013629781009,35.3347389269781
25,31269069,01,D168525,Off,B,경상남도 진주시 금산면 덕의길 11,11,아파트,경상남도 진주시,4817041027109640001,1,덕의길11,XXX,04,매입임대,LH경남,http://www.lh.or.kr,Y,128.146940830505,35.2183420359148
26,31269078,01,D168525,Off,B,경상남도 진주시 내동로348번길 10,11,아파트,경상남도 진주시,4817013100105730001,1,내동로348번길10,XXX,04,매입임대,LH경남,http://www.lh.or.kr,Y,128.102178095591,35.1495754305313
27,31269080,01,D168525,Off,B,경상남도 양산시 평산로 101-20,11,아파트,매입다가구(경남양산시),4833011900112020000,1,평산로101-20,XXX,04,매입임대,LH경남,http://www.lh.or.kr,Y,129.14397207417,35.3810545298618
