0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
천수림아파트,영구임대,경상남도 창원시 의창구 북면 감계로 222,2014-05-20,168,아파트,계단식,개별난방,전체동 설치,창원시,27㎡,13㎡,"1,956,000원","38,980원","1,956,000원"
천수림아파트,영구임대,경상남도 창원시 의창구 북면 감계로 222,2014-05-20,168,아파트,계단식,개별난방,전체동 설치,창원시,27㎡,12㎡,"1,946,000원","38,800원","1,946,000원"
율현마을 주공 13단지아파트,국민임대,경상남도 김해시 율하2로 164,2009-05-03,"1,267",아파트,혼합식,,전체동 설치,LH경남,59.88㎡,20.08㎡,"31,210,000원","187,260원","22,000,000원"
율현마을 주공 13단지아파트,국민임대,경상남도 김해시 율하2로 164,2009-05-03,"1,267",아파트,혼합식,,전체동 설치,LH경남,51.93㎡,17.80㎡,"24,969,000원","149,810원","17,000,000원"
율현마을 주공 13단지아파트,국민임대,경상남도 김해시 율하2로 164,2009-05-03,"1,267",아파트,혼합식,,전체동 설치,LH경남,59.37㎡,20.51㎡,"31,210,000원","187,260원","22,000,000원"
율현마을 주공 13단지아파트,국민임대,경상남도 김해시 율하2로 164,2009-05-03,"1,267",아파트,혼합식,,전체동 설치,LH경남,59.44㎡,20.29㎡,"31,210,000원","187,260원","22,000,000원"
삼계 주공2단지아파트,50년임대,경상남도 창원시 마산회원구 내서읍 삼계2길 24,1998-06-17,385,아파트,복도식,개별가스난방,전체동 설치,LH경남,49.62㎡,14.46㎡,"14,418,000원","244,420원","28,000,000원"
삼계 주공2단지아파트,50년임대,경상남도 창원시 마산회원구 내서읍 삼계2길 24,1998-06-17,385,아파트,복도식,개별가스난방,전체동 설치,LH경남,39.74㎡,11.89㎡,"11,620,000원","212,540원","24,000,000원"
삼계 주공2단지아파트,50년임대,경상남도 창원시 마산회원구 내서읍 삼계2길 24,1998-06-17,385,아파트,복도식,개별가스난방,전체동 설치,LH경남,49.62㎡,14.37㎡,"14,418,000원","244,420원","28,000,000원"
젤미마을 주공2단지,국민임대,경상남도 김해시 능동로 76,2002-09-16,594,아파트,복도식,지역폐열난방,전체동 설치,LH경남,45.88㎡,23.78㎡,"17,568,000원","45,180원",0원
젤미마을 주공2단지,국민임대,경상남도 김해시 능동로 76,2002-09-16,594,아파트,복도식,지역폐열난방,전체동 설치,LH경남,36.02㎡,18.67㎡,"13,930,000원","37,360원",0원
젤미마을 주공2단지,국민임대,경상남도 김해시 능동로 76,2002-09-16,594,아파트,복도식,지역폐열난방,전체동 설치,LH경남,36.38㎡,18.86㎡,"13,930,000원","37,360원",0원
창녕주공아파트,국민임대,경상남도 창녕군 창녕읍 말흘5길 33,2007-09-02,338,아파트,복도식,개별가스난방,전체동 설치,LH경남,46.71㎡,20.24㎡,"12,563,000원","119,920원","11,000,000원"
창녕주공아파트,국민임대,경상남도 창녕군 창녕읍 말흘5길 33,2007-09-02,338,아파트,복도식,개별가스난방,전체동 설치,LH경남,36.63㎡,15.87㎡,"9,592,000원","70,740원","2,000,000원"
창녕주공아파트,국민임대,경상남도 창녕군 창녕읍 말흘5길 33,2007-09-02,338,아파트,복도식,개별가스난방,전체동 설치,LH경남,39.51㎡,17.12㎡,"10,279,000원","84,510원","5,000,000원"
창녕주공아파트,국민임대,경상남도 창녕군 창녕읍 말흘5길 33,2007-09-02,338,아파트,복도식,개별가스난방,전체동 설치,LH경남,46.18㎡,20.01㎡,"12,563,000원","119,920원","11,000,000원"
도계휴먼시아아파트,국민임대,경상남도 창원시 의창구 원이대로82번길 15-15,2009-10-28,504,아파트,복도식,,전체동 설치,LH경남,46.9㎡,22.98㎡,"30,969,000원","247,750원","29,000,000원"
도계휴먼시아아파트,국민임대,경상남도 창원시 의창구 원이대로82번길 15-15,2009-10-28,504,아파트,복도식,,전체동 설치,LH경남,36.62㎡,17.94㎡,"18,581,000원","136,250원","15,000,000원"
도계휴먼시아아파트,국민임대,경상남도 창원시 의창구 원이대로82번길 15-15,2009-10-28,504,아파트,복도식,,전체동 설치,LH경남,41.99㎡,20.57㎡,"24,775,000원","185,810원","22,000,000원"
고성동외 주공아파트,국민임대,경상남도 고성군 고성읍 동외로47번길 12,2009-05-13,409,아파트,복도식,개별가스난방,전체동 설치,LH경남,51.93㎡,25.26㎡,"19,187,000원","167,890원","20,000,000원"
고성동외 주공아파트,국민임대,경상남도 고성군 고성읍 동외로47번길 12,2009-05-13,409,아파트,복도식,개별가스난방,전체동 설치,LH경남,29.91㎡,14.94㎡,"8,394,000원","65,950원","1,000,000원"
고성동외 주공아파트,국민임대,경상남도 고성군 고성읍 동외로47번길 12,2009-05-13,409,아파트,복도식,개별가스난방,전체동 설치,LH경남,36.62㎡,18.47㎡,"9,592,000원","91,140원","6,000,000원"
고성동외 주공아파트,국민임대,경상남도 고성군 고성읍 동외로47번길 12,2009-05-13,409,아파트,복도식,개별가스난방,전체동 설치,LH경남,46.9㎡,22.81㎡,"15,590,000원","136,710원","15,000,000원"
창원월드메르디앙이스턴애비뉴아파트,10년임대,경상남도 창원시 성산구 창원대로780번길 34,2009-01-16,3,아파트,계단식,지역가스난방,전체동 설치,LH경남,84.55㎡,23.10㎡,0원,0원,0원
창원월드메르디앙이스턴애비뉴아파트,10년임대,경상남도 창원시 성산구 창원대로780번길 34,2009-01-16,2,아파트,계단식,지역가스난방,전체동 설치,LH경남,84.88㎡,23.85㎡,0원,0원,0원
창원월드메르디앙이스턴애비뉴아파트,10년임대,경상남도 창원시 성산구 창원대로780번길 34,2009-01-16,1,아파트,계단식,지역가스난방,전체동 설치,LH경남,84.55㎡,23.10㎡,0원,0원,0원
창원자은3 LH천년나무,국민임대,경상남도 창원시 진해구 냉천로 192,2017-11-11,700,아파트,복도식,,전체동 설치,LH경남,46.94㎡,22.79㎡,"29,054,000원","240,000원","28,000,000원"
창원자은3 LH천년나무,국민임대,경상남도 창원시 진해구 냉천로 192,2017-11-11,700,아파트,복도식,,전체동 설치,LH경남,26.83㎡,13.03㎡,"9,672,000원","128,000원","13,000,000원"
창원자은3 LH천년나무,국민임대,경상남도 창원시 진해구 냉천로 192,2017-11-11,700,아파트,복도식,,전체동 설치,LH경남,26.9㎡,13.06㎡,"9,672,000원","128,000원","13,000,000원"
창원자은3 LH천년나무,국민임대,경상남도 창원시 진해구 냉천로 192,2017-11-11,700,아파트,복도식,,전체동 설치,LH경남,37.7㎡,18.30㎡,"18,624,000원","182,000원","21,000,000원"
김해북부 두산위브 아파트,10년임대,경상남도 김해시 김해대로 1784-27,2005-10-28,9,아파트,계단식,지역가스난방,전체동 설치,LH경남,84.98㎡,22.48㎡,0원,0원,0원
한일유앤아이아파트,10년임대,경상남도 양산시 평산로 116,,22,아파트,,,,LH경남,84.96㎡,27.47㎡,0원,0원,0원
유승한내들,10년임대,경상남도 양산시 삼호로 98,,7,아파트,계단식,개별가스난방,전체동 설치,LH경남,84.92㎡,27.78㎡,0원,0원,0원
자은동월드메르디앙,10년임대,경상남도 창원시 진해구 자은로64번가길 26,2008-01-31,4,아파트,계단식,지역가스난방,전체동 설치,LH경남,84.94㎡,28.45㎡,0원,0원,0원
유승한내들,10년임대,경상남도 양산시 삼호로 98,,3,아파트,계단식,개별가스난방,전체동 설치,LH경남,84.92㎡,27.78㎡,0원,0원,0원
통영북신(해모로 오션힐)재개발 매입,행복주택,경상남도 통영시 북신로 22,,73,아파트,,,,LH경남,39.49㎡,18.61㎡,"38,800,000원","184,780원","22,000,000원"
통영북신(해모로 오션힐)재개발 매입,행복주택,경상남도 통영시 북신로 22,,73,아파트,,,,LH경남,39.48㎡,18.26㎡,"38,800,000원","184,780원","22,000,000원"
창원반계(창업지원주택),행복주택,경상남도 창원시 의창구 소계로 13,2021-01-31,316,아파트,,,,LH경남,44.69㎡,22.36㎡,"48,800,000원","256,200원","30,000,000원"
창원반계(창업지원주택),행복주택,경상남도 창원시 의창구 소계로 13,2021-01-31,316,아파트,,,,LH경남,25.7㎡,13.59㎡,"30,400,000원","159,600원","19,000,000원"
창원반계(창업지원주택),행복주택,경상남도 창원시 의창구 소계로 13,2021-01-31,316,아파트,,,,LH경남,25.76㎡,13.59㎡,"30,400,000원","159,600원","19,000,000원"
김해진영2 B5블록 10년 공임,10년임대,경상남도 김해시 진영읍 김해대로 461,2017-12-14,595,아파트,계단식,,전체동 설치,LH경남,84.94㎡,29.36㎡,"58,000,000원","520,000원","66,000,000원"
김해진영2 B5블록 10년 공임,10년임대,경상남도 김해시 진영읍 김해대로 461,2017-12-14,595,아파트,계단식,,전체동 설치,LH경남,74.82㎡,25.86㎡,"47,000,000원","470,000원","58,000,000원"
김해진영2 B5블록 10년 공임,10년임대,경상남도 김해시 진영읍 김해대로 461,2017-12-14,595,아파트,계단식,,전체동 설치,LH경남,84.69㎡,29.27㎡,"58,000,000원","520,000원","66,000,000원"
