rn,hsmpSn,rtsSe,rtsInsttId,detailSn,rthousSe,rnAdres,houseTy,houseTyNm,hsmpNm,pnu,hshldCo,rnNm,atchFileId,suplyTy,suplyTyNm,insttDc,url,invntryAssetsAt,x,y
1,30700226,01,D168540,Off,C,제주특별자치도 제주시 인다12길 1,11,아파트,제주아라주공아파트,5011011700161350000,336,인다12길1,FLE00005001,01,영구임대,LH제주,http://www.lh.or.kr,Y,126.54680313939,33.473555717983
2,30700228,01,D168540,Off,C,제주특별자치도 제주시 동화로1길 35,11,아파트,제주화북 주공3단지,5011011100100090001,590,동화로1길35,FLE00005043,03,50년임대,LH제주,http://www.lh.or.kr,Y,126.576944050722,33.5195828117136
3,30700230,01,D168540,Off,C,제주특별자치도 서귀포시 중앙로 198-9,11,아파트,서귀포동홍 휴먼시아6단지,5013010500113120000,602,중앙로198-9,FLE00004852,02,국민임대,LH제주,http://www.lh.or.kr,Y,126.559977811961,33.2622477397166
4,30700294,01,D168540,Off,C,제주특별자치도 제주시 화삼북로2길 12,11,아파트,제주삼화 휴먼시아1단지,5011011100110020001,1364,화삼북로2길12,FLE00005057,02,국민임대,LH제주,http://www.lh.or.kr,Y,126.576294215204,33.5160518583168
5,30700507,01,D168540,Off,B,제주특별자치도 서귀포시 김정문화로27번길 23-6,11,아파트,제주특별자치도 서귀포시,5013011600101580006,10,김정문화로27번길23-6,FLE00006844,04,매입임대,LH제주,http://www.lh.or.kr,Y,126.50778978837,33.2541908803141
6,30699667,01,D168540,Off,D,제주특별자치도 제주시 조천읍 함덕남12길 19-6,11,아파트,함덕진우,5011025924102900107,151,함덕남12길19-6,XXX,02,국민임대,LH제주,http://www.lh.or.kr,Y,126.674235075596,33.5328577495929
7,30855910,01,D168540,Off,B,제주특별자치도 제주시 서흘4길 6,11,아파트,제주특별자치도 제주시,5011011300115820017,2,서흘4길6,XXX,04,매입임대,LH제주,http://www.lh.or.kr,Y,126.590115045152,33.5288607863079
8,30822872,01,D168540,Off,B,제주특별자치도 제주시 수정2길 26,11,아파트,제주특별자치도 제주시,5011012300104000006,28,수정2길26,XXX,04,매입임대,LH제주,http://www.lh.or.kr,Y,126.426912217479,33.4915531263011
9,31297370,01,D168540,Off,C,제주특별자치도 서귀포시 성산읍 고성동서로 33,11,아파트,서귀포성산LH,5013025924111410001,346,고성동서로33,FLE00021784,02,국민임대,LH제주,http://www.lh.or.kr,Y,126.910404198154,33.4501578370473
10,30699399,01,D168540,Off,C,제주특별자치도 제주시 애월읍 하귀9길 71,11,아파트,제주하귀 휴먼시아 2단지,5011025340101660001,71,하귀9길71,FLE00005059,05,10년임대,LH제주,http://www.lh.or.kr,Y,126.414666968063,33.4809083092238
11,30699504,01,D168540,Off,C,제주특별자치도 제주시 우정로18길 25,11,아파트,외도 아름마을,5011012300106410001,321,우정로18길25,FLE00005049,02,국민임대,LH제주,http://www.lh.or.kr,Y,126.428036680032,33.4848670561234
12,30701421,01,D168540,Off,B,제주특별자치도 제주시 진동로 8,11,아파트,제주특별자치도 제주시,5011011100119370001,30,진동로8,FLE00006881,04,매입임대,LH제주,http://www.lh.or.kr,Y,126.568731313005,33.5198816934941
13,30855878,01,D168540,Off,C,제주특별자치도 제주시 화삼로 110,11,아파트,제주삼화 LH아파트 3단지,5011013100105500000,850,화삼로110,XXX,02,국민임대,LH제주,http://www.lh.or.kr,Y,126.585237525731,33.5142517386765
14,30700232,01,D168540,Off,C,제주특별자치도 제주시 애월읍 고성서3길 15-5,11,아파트,휴먼시아,5011025329114880001,207,고성서3길15-5,XXX,02,국민임대,LH제주,http://www.lh.or.kr,Y,126.411218063295,33.4661028983443
15,30699456,01,D168540,Off,C,제주특별자치도 서귀포시 서호남로 92-15,11,아파트,제주서귀포혁신도시 A1블록,5013010300115400000,113,서호남로92-15,XXX,05,10년임대,LH제주,http://www.lh.or.kr,Y,126.522209596363,33.2485865887169
16,30699682,01,D168540,Off,D,제주특별자치도 제주시 한림읍 옹포4길 20,11,아파트,옹포주암,5011025028106360001,40,옹포4길20,XXX,02,국민임대,LH제주,http://www.lh.or.kr,Y,126.253027237194,33.4008800053106
17,30701048,01,D168540,Off,B,제주특별자치도 제주시 진동로 8,11,아파트,제주특별자치도 제주시,5011011100119370001,72,진동로8,FLE00006855,04,매입임대,LH제주,http://www.lh.or.kr,Y,126.568731313005,33.5198816934941
18,30701051,01,D168540,Off,B,제주특별자치도 제주시 서광로18길 5-19,11,아파트,제주특별자치도 제주시,5011010500105720015,25,서광로18길5-19,FLE00006848,04,매입임대,LH제주,http://www.lh.or.kr,Y,126.521540324179,33.499255323998
19,30699426,01,D168540,Off,D,제주특별자치도 서귀포시 남원읍 남원광지로 5,11,아파트,남원에덴아파트,5013025321113230002,6,남원광지로5,XXX,02,국민임대,LH제주,http://www.lh.or.kr,Y,126.712653621492,33.2780331031656
20,31327300,01,D168540,Off,B,제주특별자치도 제주시 흥운길 55-9,11,아파트,제주특별자치도 제주시,5011010900104710007,12,흥운길55-9,FLE00022945,04,매입임대,LH제주,http://www.lh.or.kr,Y,126.512206035313,33.5139274337392
21,30700229,01,D168540,Off,C,제주특별자치도 서귀포시 태평로512번길 9,11,아파트,동홍 주공3단지,5013010500103530001,400,태평로512번길9,FLE00005047,01,영구임대,LH제주,http://www.lh.or.kr,Y,126.573056751218,33.2498396752746
22,30700231,01,D168540,Off,C,제주특별자치도 제주시 진군1길 3,11,아파트,제주으뜸마을,5011012200107530000,420,진군1길3,FLE00005044,02,국민임대,LH제주,http://www.lh.or.kr,Y,126.481427292817,33.4787294343705
23,30699766,01,D168540,Off,C,제주특별자치도 서귀포시 대정읍 하모중앙로 6,11,아파트,서귀포대정 휴먼시아,5013025022114500000,327,하모중앙로6,FLE00005045,02,국민임대,LH제주,http://www.lh.or.kr,Y,126.252605964848,33.2276170782755
24,30700684,01,D168540,Off,B,제주특별자치도 서귀포시 김정문화로27번길 13-3,11,아파트,매입다가구(제주서귀포시),5013011600101650005,9,김정문화로27번길13-3,FLE00006886,04,매입임대,LH제주,http://www.lh.or.kr,Y,126.507597870442,33.2531152282145
25,30699645,01,D168540,Off,D,제주특별자치도 제주시 조천읍 신북로 324,11,아파트,조천주암썬빌리지,5011025923111880000,49,신북로324,XXX,02,국민임대,LH제주,http://www.lh.or.kr,Y,126.645547309726,33.5404893991811
26,30700506,01,D168540,Off,B,제주특별자치도 서귀포시 김정문화로27번길 23-5,11,아파트,제주특별자치도 서귀포시,5013011600101600001,10,김정문화로27번길23-5,FLE00006874,04,매입임대,LH제주,http://www.lh.or.kr,Y,126.507722335459,33.2540155824171
