0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
제주아라주공아파트,영구임대,제주특별자치도 제주시 인다12길 1,1992-04-15,336,아파트,복도식,개별유류난방,미설치,LH제주,30.48㎡,14.18㎡,"4,661,000원","86,530원","10,000,000원"
제주아라주공아파트,영구임대,제주특별자치도 제주시 인다12길 1,1992-04-15,336,아파트,복도식,개별유류난방,미설치,LH제주,26.34㎡,13.75㎡,"4,028,000원","74,770원","8,000,000원"
제주화북 주공3단지,50년임대,제주특별자치도 제주시 동화로1길 35,1997-12-03,590,아파트,복도식,개별가스난방,전체동 설치,LH제주,49.57㎡,21.83㎡,"15,418,000원","246,800원","26,000,000원"
제주화북 주공3단지,50년임대,제주특별자치도 제주시 동화로1길 35,1997-12-03,590,아파트,복도식,개별가스난방,전체동 설치,LH제주,49.5㎡,20.43㎡,"15,395,000원","246,550원","26,000,000원"
제주화북 주공3단지,50년임대,제주특별자치도 제주시 동화로1길 35,1997-12-03,590,아파트,복도식,개별가스난방,전체동 설치,LH제주,49.5㎡,21.19㎡,"15,395,000원","246,550원","26,000,000원"
제주화북 주공3단지,50년임대,제주특별자치도 제주시 동화로1길 35,1997-12-03,590,아파트,복도식,개별가스난방,전체동 설치,LH제주,49.5㎡,21.53㎡,"15,395,000원","246,550원","26,000,000원"
제주화북 주공3단지,50년임대,제주특별자치도 제주시 동화로1길 35,1997-12-03,590,아파트,복도식,개별가스난방,전체동 설치,LH제주,49.5㎡,21.79㎡,"15,395,000원","246,550원","26,000,000원"
제주화북 주공3단지,50년임대,제주특별자치도 제주시 동화로1길 35,1997-12-03,590,아파트,복도식,개별가스난방,전체동 설치,LH제주,49.57㎡,20.46㎡,"15,418,000원","246,800원","26,000,000원"
제주화북 주공3단지,50년임대,제주특별자치도 제주시 동화로1길 35,1997-12-03,590,아파트,복도식,개별가스난방,전체동 설치,LH제주,49.57㎡,21.22㎡,"15,418,000원","246,800원","26,000,000원"
제주화북 주공3단지,50년임대,제주특별자치도 제주시 동화로1길 35,1997-12-03,590,아파트,복도식,개별가스난방,전체동 설치,LH제주,49.57㎡,21.56㎡,"15,418,000원","246,800원","26,000,000원"
서귀포동홍 휴먼시아6단지,국민임대,제주특별자치도 서귀포시 중앙로 198-9,2008-06-20,602,아파트,복도식,개별가스난방,전체동 설치,LH제주,51.93㎡,20.84㎡,"21,678,000원","169,710원","20,000,000원"
서귀포동홍 휴먼시아6단지,국민임대,제주특별자치도 서귀포시 중앙로 198-9,2008-06-20,602,아파트,복도식,개별가스난방,전체동 설치,LH제주,39.63㎡,16.52㎡,"13,007,000원","91,660원","6,000,000원"
서귀포동홍 휴먼시아6단지,국민임대,제주특별자치도 서귀포시 중앙로 198-9,2008-06-20,602,아파트,복도식,개별가스난방,전체동 설치,LH제주,46.9㎡,18.82㎡,"18,581,000원","132,520원","14,000,000원"
서귀포동홍 휴먼시아6단지,국민임대,제주특별자치도 서귀포시 중앙로 198-9,2008-06-20,602,아파트,복도식,개별가스난방,전체동 설치,LH제주,47.41㎡,19.03㎡,"18,581,000원","132,520원","14,000,000원"
제주삼화 휴먼시아1단지,국민임대,제주특별자치도 제주시 화삼북로2길 12,2011-02-07,"1,364",아파트,복도식,개별가스난방,전체동 설치,LH제주,51.95㎡,24.84㎡,"21,266,000원","215,080원","25,000,000원"
제주삼화 휴먼시아1단지,국민임대,제주특별자치도 제주시 화삼북로2길 12,2011-02-07,"1,364",아파트,복도식,개별가스난방,전체동 설치,LH제주,33.4㎡,15.97㎡,"11,774,000원","99,720원","7,000,000원"
제주삼화 휴먼시아1단지,국민임대,제주특별자치도 제주시 화삼북로2길 12,2011-02-07,"1,364",아파트,복도식,개별가스난방,전체동 설치,LH제주,39.57㎡,18.92㎡,"15,620,000원","123,750원","12,000,000원"
제주삼화 휴먼시아1단지,국민임대,제주특별자치도 제주시 화삼북로2길 12,2011-02-07,"1,364",아파트,복도식,개별가스난방,전체동 설치,LH제주,46.9㎡,22.43㎡,"18,984,000원","164,610원","19,000,000원"
함덕진우,국민임대,제주특별자치도 제주시 조천읍 함덕남12길 19-6,,151,아파트,,개별가스난방,,LH제주,46.72㎡,9.97㎡,"15,441,000원","84,880원","4,000,000원"
함덕진우,국민임대,제주특별자치도 제주시 조천읍 함덕남12길 19-6,,151,아파트,,개별가스난방,,LH제주,37.19㎡,9.88㎡,"10,447,000원","57,410원",0원
함덕진우,국민임대,제주특별자치도 제주시 조천읍 함덕남12길 19-6,,151,아파트,,개별가스난방,,LH제주,37.20㎡,10.46㎡,"10,447,000원","57,410원",0원
함덕진우,국민임대,제주특별자치도 제주시 조천읍 함덕남12길 19-6,,151,아파트,,개별가스난방,,LH제주,37.26㎡,9.82㎡,"9,599,000원","52,410원",0원
함덕진우,국민임대,제주특별자치도 제주시 조천읍 함덕남12길 19-6,,151,아파트,,개별가스난방,,LH제주,37.26㎡,10.40㎡,"9,599,000원","52,410원",0원
