rn,hsmpSn,rtsSe,rtsInsttId,detailSn,rthousSe,rnAdres,houseTy,houseTyNm,hsmpNm,pnu,hshldCo,rnNm,atchFileId,suplyTy,suplyTyNm,insttDc,url,invntryAssetsAt,x,y
1,30699729,01,D168483,Off,C,전라북도 익산시 동천로1길 7,11,아파트,동산여울 휴먼시아3단지,4514011100111400000,320,동천로1길7,FLE00004950,02,국민임대,LH전북,http://www.lh.or.kr,Y,126.967358418002,35.9298683560085
2,30700127,01,D168483,Off,C,전라북도 정읍시 학산로 89-72,11,아파트,정읍상동 휴먼시아3단지,4518010300109680000,992,학산로89-72,FLE00004978,02,국민임대,LH전북,http://www.lh.or.kr,Y,126.876130864996,35.5568151871276
3,30700128,01,D168483,Off,C,전라북도 김제시 요촌북로 110,11,아파트,김제검산주공,4521010400110300001,573,요촌북로110,FLE00004936,01,영구임대,LH전북,http://www.lh.or.kr,Y,126.896215586855,35.8077532847215
4,30699654,01,D168483,Off,D,전라북도 군산시 칠성5길 30,11,아파트,산북부향하나로3차,4513014500108520000,224,칠성5길30,XXX,02,국민임대,LH전북,http://www.lh.or.kr,Y,126.67704503617,35.9580894313168
5,30699663,01,D168483,Off,D,전라북도 군산시 번영로 188-22,11,아파트,하나로아파트,4513013400107710000,315,번영로188-22,XXX,02,국민임대,LH전북,http://www.lh.or.kr,Y,126.737783816861,35.9629870678812
6,30699574,01,D168483,Off,C,전라북도 정읍시 신태인읍 호남철로 32-13,11,아파트,정읍신태인주공아파트,4518025021107360001,314,호남철로32-13,FLE00004982,02,국민임대,LH전북,http://www.lh.or.kr,Y,126.884300999777,35.6940336150709
7,30700115,01,D168483,Off,C,전라북도 전주시 완산구 용호로 20,11,아파트,효자휴먼시아3단지아파트,4511114100112010002,691,용호로20,FLE00004959,02,국민임대,LH전북,http://www.lh.or.kr,Y,127.102077181442,35.807715062772
8,31210178,02,B551971,Off,C,전라북도 임실군 임실읍 봉황11길 94,11,아파트,임실 에코르,4575025022102210000,95,봉황11길94,XXX,05,10년임대,전북개발공사,http://www.jbdc.co.kr,Y,127.285617795702,35.6161272473228
9,31270645,01,D168483,Off,B,전라북도 전주시 덕진구 가련산로 24,11,아파트,매입다가구(전북전주시),4511310600106960000,1,가련산로24,XXX,04,매입임대,LH전북,http://www.lh.or.kr,Y,127.112022522643,35.8408305848877
10,31270659,01,D168483,Off,B,전라북도 전주시 완산구 구이로 2065,11,아파트,매입다가구(전북전주시),4511113300109520000,1,구이로2065,XXX,04,매입임대,LH전북,http://www.lh.or.kr,Y,127.129733667501,35.7822804438789
