0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
동산여울 휴먼시아3단지,국민임대,전라북도 익산시 동천로1길 7,2009-08-28,320,아파트,복도식,개별가스난방,전체동 설치,LH전북,51.99㎡,23.00㎡,"26,217,000원","149,810원","17,000,000원"
동산여울 휴먼시아3단지,국민임대,전라북도 익산시 동천로1길 7,2009-08-28,320,아파트,복도식,개별가스난방,전체동 설치,LH전북,36.91㎡,16.33㎡,"13,731,000원","103,580원","8,000,000원"
동산여울 휴먼시아3단지,국민임대,전라북도 익산시 동천로1길 7,2009-08-28,320,아파트,복도식,개별가스난방,전체동 설치,LH전북,51.97㎡,22.99㎡,"26,217,000원","149,810원","17,000,000원"
정읍상동 휴먼시아3단지,국민임대,전라북도 정읍시 학산로 89-72,2009-10-04,992,아파트,복도식,개별가스난방,전체동 설치,LH전북,51.93㎡,24.05㎡,"21,058,000원","136,250원","15,000,000원"
정읍상동 휴먼시아3단지,국민임대,전라북도 정읍시 학산로 89-72,2009-10-04,992,아파트,복도식,개별가스난방,전체동 설치,LH전북,39.56㎡,18.32㎡,"12,387,000원","92,900원","6,000,000원"
정읍상동 휴먼시아3단지,국민임대,전라북도 정읍시 학산로 89-72,2009-10-04,992,아파트,복도식,개별가스난방,전체동 설치,LH전북,39.56㎡,18.68㎡,"12,387,000원","92,900원","6,000,000원"
정읍상동 휴먼시아3단지,국민임대,전라북도 정읍시 학산로 89-72,2009-10-04,992,아파트,복도식,개별가스난방,전체동 설치,LH전북,39.63㎡,18.98㎡,"12,387,000원","92,900원","6,000,000원"
정읍상동 휴먼시아3단지,국민임대,전라북도 정읍시 학산로 89-72,2009-10-04,992,아파트,복도식,개별가스난방,전체동 설치,LH전북,46.79㎡,21.67㎡,"17,342,000원","111,470원","8,000,000원"
정읍상동 휴먼시아3단지,국민임대,전라북도 정읍시 학산로 89-72,2009-10-04,992,아파트,복도식,개별가스난방,전체동 설치,LH전북,46.79㎡,22.09㎡,"17,342,000원","111,470원","10,000,000원"
정읍상동 휴먼시아3단지,국민임대,전라북도 정읍시 학산로 89-72,2009-10-04,992,아파트,복도식,개별가스난방,전체동 설치,LH전북,46.9㎡,21.72㎡,"17,342,000원","111,470원","8,000,000원"
정읍상동 휴먼시아3단지,국민임대,전라북도 정읍시 학산로 89-72,2009-10-04,992,아파트,복도식,개별가스난방,전체동 설치,LH전북,46.9㎡,22.15㎡,"17,342,000원","111,470원","10,000,000원"
김제검산주공,영구임대,전라북도 김제시 요촌북로 110,1994-10-29,573,아파트,복도식,중앙가스난방,전체동 설치,LH전북,26.37㎡,9.37㎡,"6,300,000원","102,850원",0원
산북부향하나로3차,국민임대,전라북도 군산시 칠성5길 30,1998-04-11,224,아파트,복도식,개별가스난방,전체동 설치,LH전북,39.95㎡,9.50㎡,"8,394,000원","81,540원",0원
산북부향하나로3차,국민임대,전라북도 군산시 칠성5길 30,1998-04-11,224,아파트,복도식,개별가스난방,전체동 설치,LH전북,32.81㎡,7.80㎡,"3,600,000원","64,750원",0원
