rn,hsmpSn,rtsSe,rtsInsttId,detailSn,rthousSe,rnAdres,houseTy,houseTyNm,hsmpNm,pnu,hshldCo,rnNm,atchFileId,suplyTy,suplyTyNm,insttDc,url,invntryAssetsAt,x,y
1,30824058,01,D168464,Off,D,전라남도 무안군 무안읍 승달로 12,11,아파트,무안금광브니엘,4684025024100660000,50,승달로12,XXX,02,국민임대,LH광주전남,http://www.lh.or.kr,Y,126.47168490956,34.9929973260243
2,30699488,01,D168464,Off,C,전라남도 순천시 서면 강청길 80,11,아파트,배들마을 선평주공2단지,4615032028102020001,550,강청길80,FLE00004866,02,국민임대,LH광주전남,http://www.lh.or.kr,Y,127.502216910615,34.9866287619455
3,30700151,01,D168464,Off,C,전라남도 목포시 원산중앙로 108,11,아파트,주공아파트,4611010300112620000,476,원산중앙로108,FLE00005034,03,50년임대,LH광주전남,http://www.lh.or.kr,Y,126.382243904893,34.8126495656704
4,30700156,01,D168464,Off,C,전라남도 순천시 신월큰길 54,11,아파트,주공5차아파트,4615013300116660000,921,신월큰길54,FLE00006485,01,영구임대,LH광주전남,http://www.lh.or.kr,Y,127.515578336503,34.9609603758906
5,31120085,01,D168464,Off,D,전라남도 광양시 광양읍 용강1길 12,11,아파트,창덕에버빌아파트,4623025030108930000,2,용강1길12,XXX,05,10년임대,LH광주전남,http://www.lh.or.kr,Y,127.609575394051,34.9739033736296
6,31178105,01,D168464,Off,C,전라남도 함평군 대동면 영수길 367,11,아파트,함평향교(국민+영구),4686035026114280000,30,영수길367,XXX,01,영구임대,LH광주전남,http://www.lh.or.kr,Y,126.529361555359,35.0677042314273
7,31179640,01,D168464,Off,C,전라남도 여수시 이순신광장로 260,11,아파트,여수수정,4613010200101670001,200,이순신광장로260,XXX,09,행복주택,LH광주전남,http://www.lh.or.kr,Y,127.749170598733,34.7426734740123
8,31297349,01,D168464,Off,C,전라남도 장성군 삼계면 영장로 1589,11,아파트,장성삼계LH1단지,4688035021107620000,52,영장로1589,XXX,02,국민임대,LH광주전남,http://www.lh.or.kr,Y,null,null
9,31297368,01,D168464,Off,C,전라남도 고흥군 고흥읍 터미널길 17-35,11,아파트,고흥남계 LH1단지,4677025024116800000,362,터미널길17-35,XXX,02,국민임대,LH광주전남,http://www.lh.or.kr,Y,127.277642346616,34.6067348220731
10,30699435,01,D168464,Off,D,전라남도 순천시 조례연동길 5,11,아파트,순천조례대주파크빌3차아파트,4615013300103720001,1,조례연동길5,XXX,05,10년임대,LH광주전남,http://www.lh.or.kr,Y,127.529023906408,34.9579801828657
