0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
무안금광브니엘,국민임대,전라남도 무안군 무안읍 승달로 12,,50,아파트,,,,LH광주전남,59.82㎡,18.80㎡,"16,832,000원","159,580원","19,000,000원"
무안금광브니엘,국민임대,전라남도 무안군 무안읍 승달로 12,,50,아파트,,,,LH광주전남,49.69㎡,15.62㎡,"12,570,000원","138,810원","15,000,000원"
배들마을 선평주공2단지,국민임대,전라남도 순천시 서면 강청길 80,2004-11-04,550,아파트,복도식,개별가스난방,전체동 설치,LH광주전남,46.22㎡,21.03㎡,"14,475,000원","88,430원","5,000,000원"
배들마을 선평주공2단지,국민임대,전라남도 순천시 서면 강청길 80,2004-11-04,550,아파트,복도식,개별가스난방,전체동 설치,LH광주전남,36.63㎡,16.66㎡,"11,469,000원","69,340원","1,000,000원"
주공아파트,50년임대,전라남도 목포시 원산중앙로 108,1995-11-01,476,아파트,복도식,개별가스난방,전체동 설치,LH광주전남,37.67㎡,18.24㎡,"10,319,000원","146,130원","17,000,000원"
주공아파트,50년임대,전라남도 목포시 원산중앙로 108,1995-11-01,476,아파트,복도식,개별가스난방,전체동 설치,LH광주전남,37.67㎡,16.58㎡,"10,319,000원","146,130원","17,000,000원"
주공5차아파트,영구임대,전라남도 순천시 신월큰길 54,1992-12-06,921,아파트,복도식,개별가스난방,전체동 설치,LH광주전남,31.32㎡,12.64㎡,"3,731,000원","83,020원","9,000,000원"
주공5차아파트,영구임대,전라남도 순천시 신월큰길 54,1992-12-06,921,아파트,복도식,개별가스난방,전체동 설치,LH광주전남,26.37㎡,12.17㎡,"3,141,000원","69,900원","7,000,000원"
주공5차아파트,영구임대,전라남도 순천시 신월큰길 54,1992-12-06,921,아파트,복도식,개별가스난방,전체동 설치,LH광주전남,26.37㎡,13.51㎡,"3,141,000원","69,900원","7,000,000원"
주공5차아파트,영구임대,전라남도 순천시 신월큰길 54,1992-12-06,921,아파트,복도식,개별가스난방,전체동 설치,LH광주전남,26.37㎡,13.56㎡,"3,141,000원","69,900원","7,000,000원"
창덕에버빌아파트,10년임대,전라남도 광양시 광양읍 용강1길 12,2001-09-28,2,아파트,계단식,개별가스난방,전체동 설치,LH광주전남,84.76㎡,27.19㎡,"34,066,000원","192,000원","27,000,000원"
함평향교(국민+영구),영구임대,전라남도 함평군 대동면 영수길 367,2018-08-21,30,아파트,복도식,,전체동 설치,LH광주전남,24.66㎡,11.48㎡,"9,163,000원","86,940원","10,000,000원"
함평향교(국민+영구),영구임대,전라남도 함평군 대동면 영수길 367,2018-08-21,30,아파트,복도식,,전체동 설치,LH광주전남,24.59㎡,11.45㎡,"9,113,000원","86,450원","10,000,000원"
여수수정,행복주택,전라남도 여수시 이순신광장로 260,2018-09-07,200,아파트,,,,LH광주전남,36.78㎡,14.97㎡,"30,120,000원","178,210원","21,000,000원"
여수수정,행복주택,전라남도 여수시 이순신광장로 260,2018-09-07,200,아파트,,,,LH광주전남,16.97㎡,7.58㎡,"15,080,000원","89,220원","5,000,000원"
여수수정,행복주택,전라남도 여수시 이순신광장로 260,2018-09-07,200,아파트,,,,LH광주전남,26.72㎡,11.27㎡,"22,440,000원","132,770원","14,000,000원"
