rn,hsmpSn,rtsSe,rtsInsttId,detailSn,rthousSe,rnAdres,houseTy,houseTyNm,hsmpNm,pnu,hshldCo,rnNm,atchFileId,suplyTy,suplyTyNm,insttDc,url,invntryAssetsAt,x,y
1,30700408,01,D168291,Off,C,서울특별시 서초구 양재대로2길 34,11,아파트,엘에이치 서초 3단지,1165010300107840000,440,양재대로2길34,FLE00006239,02,국민임대,LH서울,http://www.lh.or.kr,Y,127.022593371405,37.4582817310991
2,30699929,01,D168291,Off,C,서울특별시 노원구 초안산로1길 15,11,아파트,월계주공1단지아파트,1135010200105560000,1820,초안산로1길15,FLE00004831,01,영구임대,LH서울,http://www.lh.or.kr,Y,127.054372280835,37.6283704544329
3,30699931,01,D168291,Off,C,서울특별시 서초구 바우뫼로7길 11,11,아파트,서초우면주공아파트,1165010300100630000,984,바우뫼로7길11,FLE00006345,01,영구임대,LH서울,http://www.lh.or.kr,Y,127.02474507281,37.470738278525
4,30699936,01,D168291,Off,C,서울특별시 강서구 공항대로39길 59,11,아파트,서울등촌주공4단지,1150010200106900000,1575,공항대로39길59,FLE00000721,01,영구임대,LH서울,http://www.lh.or.kr,Y,126.844042108349,37.5609079661954
5,30855914,02,B551452,Off,C,서울특별시 마포구 토정로18길 11,11,아파트,래미안웰스트림(현석2구역),1144011200102250000,132,토정로18길11,XXX,03,50년임대,SH공사,http://www.i-sh.co.kr,Y,126.93582978595,37.5436397059466
6,30582262,02,B551452,Off,C,서울특별시 노원구 노원로19길 31,11,아파트,중계4단지,1135010600105110002,1979,노원로19길31,XXX,03,50년임대,SH공사,http://www.i-sh.co.kr,Y,127.070743641864,37.6448718864907
7,30952283,02,B551452,Off,C,서울특별시 강서구 공항대로 359,11,아파트,등촌장기전세주택,1150010200106610006,54,공항대로359,XXX,07,장기전세,SH공사,http://www.i-sh.co.kr,Y,126.847748644499,37.5577924954416
8,30684342,02,B551452,Off,C,서울특별시 마포구 독막로20나길 21,11,아파트,상수2구역,1144011500103980000,91,독막로20나길21,FLE00006907,03,50년임대,SH공사,http://www.i-sh.co.kr,Y,126.926726448,37.5464255469227
9,30583405,02,B551452,Off,C,서울특별시 성북구 종암로24길 35,11,아파트,종암2차SK뷰(종암6),1129013500101350000,68,종암로24길35,XXX,03,50년임대,SH공사,http://www.i-sh.co.kr,Y,127.035317562533,37.6014460503859
10,30583406,02,B551452,Off,C,서울특별시 동대문구 서울시립대로 14,11,아파트,청계한신휴플러스,1123010500110020000,20,서울시립대로14,XXX,07,장기전세,SH공사,http://www.i-sh.co.kr,Y,127.045271660848,37.5729587388801
11,30583409,02,B551452,Off,C,서울특별시 구로구 고척로60길 30,11,아파트,고척벽산블루밍(고척3),1153010600103420000,59,고척로60길30,XXX,03,50년임대,SH공사,http://www.i-sh.co.kr,Y,126.859724383147,37.5050691707159
12,30583413,02,B551452,Off,C,서울특별시 동작구 흑석한강로 12,11,아파트,흑석한강센트레빌(흑석5),1159010500103350000,114,흑석한강로12,FLE00006445,03,50년임대,SH공사,http://www.i-sh.co.kr,Y,126.96610285323,37.5057329153911
13,30583426,02,B551452,Off,C,서울특별시 중구 청구로 64,11,아파트,청구e편한세상(신당7),1114016200108520000,158,청구로64,XXX,03,50년임대,SH공사,http://www.i-sh.co.kr,Y,127.015448768812,37.5603446507042
14,30583430,02,B551452,Off,C,서울특별시 양천구 신월로20길 7,11,아파트,신정뉴타운두산위브(신정1-2),1147010300110550000,61,신월로20길7,XXX,03,50년임대,SH공사,http://www.i-sh.co.kr,Y,126.845211521168,37.5196067115167
15,30583444,02,B551452,Off,C,서울특별시 동대문구 사가정로 65,11,아파트,래미안크레시티(전농7),1123010400106900000,413,사가정로65,XXX,03,50년임대,SH공사,http://www.i-sh.co.kr,Y,127.052858392776,37.5748815033188
16,30582281,02,B551452,Off,C,서울특별시 송파구 양산로2길 38,11,아파트,거여6단지,1171011300102950000,660,양산로2길38,XXX,03,50년임대,SH공사,http://www.i-sh.co.kr,Y,127.146083349687,37.488760375305
17,30582282,02,B551452,Off,C,서울특별시 노원구 초안산로 89,11,아파트,월계청백1단지,1135010200107740000,1147,초안산로89,XXX,03,50년임대,SH공사,http://www.i-sh.co.kr,Y,127.052171849914,37.6355314670021
18,30582283,02,B551452,Off,C,서울특별시 노원구 동일로250길 17,11,아파트,상계은빛3단지,1135010500112640000,900,동일로250길17,XXX,03,50년임대,SH공사,http://www.i-sh.co.kr,Y,127.05657634414,37.6824284724291
19,30583258,02,B551452,Off,C,서울특별시 서대문구 세검정로1길 95,11,아파트,홍은벽산(홍은5-3),1141011800104550000,180,세검정로1길95,FLE00006738,03,50년임대,SH공사,http://www.i-sh.co.kr,Y,126.945719431223,37.5945041899954
20,30583276,02,B551452,Off,C,서울특별시 서대문구 통일로34길 46,11,아파트,인왕산현대(홍제4),1141011100104600000,246,통일로34길46,FLE00006739,03,50년임대,SH공사,http://www.i-sh.co.kr,Y,126.950347371236,37.5861067033835
21,30583289,02,B551452,Off,C,서울특별시 성북구 동소문로34길 24,11,아파트,돈암삼성(돈암3-2),1129010300100150001,736,동소문로34길24,XXX,03,50년임대,SH공사,http://www.i-sh.co.kr,Y,127.022447355045,37.5989684696006
22,30583299,02,B551452,Off,C,서울특별시 노원구 덕릉로112길 13,11,아파트,상계동아불암(상계3-1),1135010500112860000,434,덕릉로112길13,XXX,03,50년임대,SH공사,http://www.i-sh.co.kr,Y,127.078572153861,37.6659279382647
23,30583305,02,B551452,Off,C,서울특별시 중구 왕십리로39길 30,11,아파트,한진해모로(하왕1-2),1114016200108450000,116,왕십리로39길30,XXX,03,50년임대,SH공사,http://www.i-sh.co.kr,Y,127.026057914938,37.5636894648887
24,30583341,02,B551452,Off,C,서울특별시 노원구 한글비석로 6,11,아파트,학여울청구B(하계2B),1135010400103560000,378,한글비석로6,XXX,03,50년임대,SH공사,http://www.i-sh.co.kr,Y,127.064267829355,37.6329013630195
25,30583342,02,B551452,Off,C,서울특별시 마포구 만리재옛길 101,11,아파트,공덕2삼성(공덕2),1144010200100440000,199,만리재옛길101,FLE00006734,03,50년임대,SH공사,http://www.i-sh.co.kr,Y,126.960983614712,37.5515297940138
26,30583324,02,B551452,Off,C,서울특별시 동대문구 답십리로41길 7,11,아파트,답십리대우(답십리11),1123010500101110001,108,답십리로41길7,XXX,03,50년임대,SH공사,http://www.i-sh.co.kr,Y,127.054619586423,37.5731226998415
27,30583359,02,B551452,Off,C,서울특별시 성북구 길음로13길 39,11,아파트,길음뉴타운3단지,1129013400112800001,282,길음로13길39,XXX,03,50년임대,SH공사,http://www.i-sh.co.kr,Y,127.018149967496,37.6088756622084
28,30583383,02,B551452,Off,C,서울특별시 광진구 영화사로16길 43,11,아파트,한라녹턴(임대),1121510300106620000,3,영화사로16길43,XXX,07,장기전세,SH공사,http://www.i-sh.co.kr,Y,127.097044350158,37.5538475080594
29,30582364,02,B551452,Off,C,서울특별시 서초구 형촌길 35,11,아파트,서초네이처힐1단지,1165010300107070000,3,형촌길35,FLE00006695,03,50년임대,SH공사,http://www.i-sh.co.kr,Y,127.020571314278,37.4635049287803
30,30582372,02,B551452,Off,C,서울특별시 강남구 헌릉로590길 11,11,아파트,세곡리엔파크3단지,1168011100105160000,131,헌릉로590길11,XXX,02,국민임대,SH공사,http://www.i-sh.co.kr,Y,127.103767787828,37.464176295727
31,30582373,02,B551452,Off,C,서울특별시 강남구 헌릉로590길 88,11,아파트,세곡리엔파크4단지,1168011100105220000,196,헌릉로590길88,XXX,02,국민임대,SH공사,http://www.i-sh.co.kr,Y,127.101389555114,37.462377578215
32,30582376,02,B551452,Off,C,서울특별시 은평구 진관1로 21-9,11,아파트,"박석고개1-1단지(은평2-12,임대)",1138011400101010000,197,진관1로21-9,FLE00006253,02,국민임대,SH공사,http://www.i-sh.co.kr,Y,126.920816217427,37.6321958881937
33,30582378,02,B551452,Off,C,서울특별시 은평구 진관3로 15-35,11,아파트,"구파발10-2단지(은평3-4,임대)",1138011400100280000,29,진관3로15-35,FLE00006256,02,국민임대,SH공사,http://www.i-sh.co.kr,Y,126.918226704369,37.6419735824848
34,30582389,02,B551452,Off,C,서울특별시 양천구 신정로13가길 6,11,아파트,신정공공주택(신정도시마을),1147010100112890002,9,신정로13가길6,XXX,04,매입임대,SH공사,http://www.i-sh.co.kr,Y,126.843283820413,37.5117094183259
35,30582391,02,B551452,Off,C,서울특별시 강서구 개화동로21길 49,11,아파트,방화동원룸(유니트로),1150010900108470000,75,개화동로21길49,XXX,02,국민임대,SH공사,http://www.i-sh.co.kr,Y,126.805681987607,37.5720702789193
36,30582397,02,B551452,Off,C,서울특별시 강서구 마곡서1로 100,11,아파트,마곡지구 6단지(임대),1150010500107430000,293,마곡서1로100,XXX,02,국민임대,SH공사,http://www.i-sh.co.kr,Y,126.819369071838,37.5664523654909
37,30582404,02,B551452,Off,C,서울특별시 서초구 청계산로11길 7-12,11,아파트,서초포레스타7단지,1165011100106150000,241,청계산로11길7-12,FLE00006702,07,장기전세,SH공사,http://www.i-sh.co.kr,Y,null,null
38,30582422,02,B551452,Off,C,서울특별시 영등포구 영등포로 17,11,아파트,양평상록수(임대),1156012600100450000,70,영등포로17,XXX,03,50년임대,SH공사,http://www.i-sh.co.kr,Y,126.88345056476,37.5235632222336
39,30582424,02,B551452,Off,C,서울특별시 영등포구 영신로 183,11,아파트,당산 SH VILLE,1156011300105620000,195,영신로183,XXX,03,50년임대,SH공사,http://www.i-sh.co.kr,Y,126.901858905727,37.5241063785269
40,30582298,02,B551452,Off,C,서울특별시 강동구 아리수로97길 20,11,아파트,강일지구5단지(임대),1174011000106700000,43,아리수로97길20,XXX,07,장기전세,SH공사,http://www.i-sh.co.kr,Y,127.177579519977,37.566999936387
41,30582300,02,B551452,Off,C,서울특별시 강동구 아리수로98길 25,11,아파트,강일지구7단지(임대),1174011000106860000,44,아리수로98길25,XXX,07,장기전세,SH공사,http://www.i-sh.co.kr,Y,127.178361953605,37.5649257478552
42,30582306,02,B551452,Off,C,서울특별시 은평구 진관4로 47,11,아파트,"상림마을7-3단지(은평1-3,임대)",1138011400100130000,72,진관4로47,FLE00006261,07,장기전세,SH공사,http://www.i-sh.co.kr,Y,126.925773195038,37.6458341900227
43,30582310,02,B551452,Off,C,서울특별시 은평구 진관4로 100,11,아파트,"상림마을6-2단지(은평1-7,임대)",1138011400100020000,68,진관4로100,FLE00006265,02,국민임대,SH공사,http://www.i-sh.co.kr,Y,126.931401046262,37.6490769383299
44,30582311,02,B551452,Off,C,서울특별시 은평구 진관4로 78-7,11,아파트,"상림마을6-1단지(은평1-8,임대)",1138011400100030000,63,진관4로78-7,FLE00006266,02,국민임대,SH공사,http://www.i-sh.co.kr,Y,126.929719593523,37.6462213197809
45,30582314,02,B551452,Off,C,서울특별시 은평구 진관4로 48-8,11,아파트,"상림마을7-5단지(은평1-11,임대)",1138011400100150000,50,진관4로48-8,FLE00006272,07,장기전세,SH공사,http://www.i-sh.co.kr,Y,126.926910819817,37.6443744318027
46,30582326,02,B551452,Off,C,서울특별시 강서구 강서로47길 108,11,아파트,발산지구1단지(임대),1150010600107420000,841,강서로47길108,XXX,02,국민임대,SH공사,http://www.i-sh.co.kr,Y,126.830194748198,37.5535019983595
47,30582331,02,B551452,Off,C,서울특별시 강서구 수명로2길 63,11,아파트,발산지구6단지(임대),1150010600107590000,237,수명로2길63,XXX,02,국민임대,SH공사,http://www.i-sh.co.kr,Y,126.826460546198,37.5502302086872
48,30582343,02,B551452,Off,C,서울특별시 은평구 진관1로 21-10,11,아파트,"박석고개1-3단지(은평2-1,임대)",1138011400101020000,167,진관1로21-10,FLE00006280,02,국민임대,SH공사,http://www.i-sh.co.kr,Y,126.921147475847,37.6323453339884
49,30582345,02,B551452,Off,C,서울특별시 은평구 진관2로 90,11,아파트,"마고정3-2단지(은평2-3,임대)",1138011400101070000,16,진관2로90,FLE00006286,02,국민임대,SH공사,http://www.i-sh.co.kr,Y,126.926992695804,37.6339414298844
50,30582346,02,B551452,Off,C,서울특별시 은평구 진관2로 67,11,아파트,"우물골2-1단지(은평2-4,임대)",1138011400100820000,15,진관2로67,FLE00006288,02,국민임대,SH공사,http://www.i-sh.co.kr,Y,126.924929510152,37.6343127458266
51,30582347,02,B551452,Off,C,서울특별시 은평구 진관2로 77,11,아파트,"우물골2-2단지(은평2-5,임대)",1138011400100830000,12,진관2로77,FLE00006291,02,국민임대,SH공사,http://www.i-sh.co.kr,Y,126.926997485026,37.6343394305416
52,30952665,02,B551452,Off,C,서울특별시 서대문구 가재울미래로 2,11,아파트,DMC파크뷰자이(가재울4),1141012000103850000,750,가재울미래로2,XXX,03,50년임대,SH공사,http://www.i-sh.co.kr,Y,126.918422263922,37.570180961328
53,30847978,02,B551452,Off,C,서울특별시 중랑구 신내로16길 33,11,아파트,신내 의료안심주택,1126010600103140025,222,신내로16길33,XXX,02,국민임대,SH공사,http://www.i-sh.co.kr,Y,null,null
54,30845818,02,B551452,Off,C,서울특별시 강남구 밤고개로26길 50,11,아파트,세곡2보금자리지구6단지(임대),1168011300103360000,119,밤고개로26길50,XXX,07,장기전세,SH공사,http://www.i-sh.co.kr,Y,127.104667404309,37.4679798969676
55,30845824,02,B551452,Off,C,서울특별시 동대문구 한빛로 73,11,아파트,용두4구역,1123010200107940000,57,한빛로73,XXX,03,50년임대,SH공사,http://www.i-sh.co.kr,Y,127.030900551579,37.5787482132851
56,30845826,02,B551452,Off,C,서울특별시 마포구 토정로31길 24,11,아파트,용강3구역,1144010500105080000,93,토정로31길24,XXX,03,50년임대,SH공사,http://www.i-sh.co.kr,Y,126.942823114326,37.5418303062681
57,30849534,02,B551452,Off,C,서울특별시 서초구 청계산로9길 1-3,11,아파트,내곡보금자리주택지구 도시형생활주택(임대),1165011100102710021,87,청계산로9길1-3,XXX,09,행복주택,SH공사,http://www.i-sh.co.kr,Y,127.055203269768,37.4486545377713
