0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
엘에이치 서초 3단지,국민임대,서울특별시 서초구 양재대로2길 34,2013-12-07,440,아파트,복도식,개별가스난방,전체동 설치,LH서울,46.96㎡,24.37㎡,"45,456,000원","356,420원","42,000,000원"
엘에이치 서초 3단지,국민임대,서울특별시 서초구 양재대로2길 34,2013-12-07,440,아파트,복도식,개별가스난방,전체동 설치,LH서울,26.68㎡,13.84㎡,"15,282,000원","190,620원","22,000,000원"
엘에이치 서초 3단지,국민임대,서울특별시 서초구 양재대로2길 34,2013-12-07,440,아파트,복도식,개별가스난방,전체동 설치,LH서울,36.7㎡,19.04㎡,"21,024,000원","256,040원","30,000,000원"
엘에이치 서초 3단지,국민임대,서울특별시 서초구 양재대로2길 34,2013-12-07,440,아파트,복도식,개별가스난방,전체동 설치,LH서울,36.87㎡,19.13㎡,"21,024,000원","256,040원","30,000,000원"
엘에이치 서초 3단지,국민임대,서울특별시 서초구 양재대로2길 34,2013-12-07,440,아파트,복도식,개별가스난방,전체동 설치,LH서울,46.76㎡,24.26㎡,"45,456,000원","356,420원","42,000,000원"
월계주공1단지아파트,영구임대,서울특별시 노원구 초안산로1길 15,1993-09-01,"1,820",아파트,복도식,중앙가스난방,전체동 설치,LH서울,31.32㎡,12.6㎡,"8,959,000원","100,810원","19,000,000원"
월계주공1단지아파트,영구임대,서울특별시 노원구 초안산로1길 15,1993-09-01,"1,820",아파트,복도식,중앙가스난방,전체동 설치,LH서울,26.37㎡,12.77㎡,"7,543,000원","84,880원","16,000,000원"
월계주공1단지아파트,영구임대,서울특별시 노원구 초안산로1길 15,1993-09-01,"1,820",아파트,복도식,중앙가스난방,전체동 설치,LH서울,26.37㎡,12.85㎡,"7,543,000원","84,880원","16,000,000원"
월계주공1단지아파트,영구임대,서울특별시 노원구 초안산로1길 15,1993-09-01,"1,820",아파트,복도식,중앙가스난방,전체동 설치,LH서울,26.37㎡,13.5㎡,"7,543,000원","84,880원","10,000,000원"
서초우면주공아파트,영구임대,서울특별시 서초구 바우뫼로7길 11,1994-07-18,984,아파트,복도식,중앙난방,전체동 설치,LH서울,31.32㎡,13.85㎡,"8,959,000원","100,810원","20,000,000원"
서초우면주공아파트,영구임대,서울특별시 서초구 바우뫼로7길 11,1994-07-18,984,아파트,복도식,중앙난방,전체동 설치,LH서울,26.37㎡,13.38㎡,"7,543,000원","84,880원","10,000,000원"
서초우면주공아파트,영구임대,서울특별시 서초구 바우뫼로7길 11,1994-07-18,984,아파트,복도식,중앙난방,전체동 설치,LH서울,31.32㎡,13.13㎡,"8,959,000원","100,810원","20,000,000원"
서울등촌주공4단지,영구임대,서울특별시 강서구 공항대로39길 59,1995-05-05,"1,575",아파트,복도식,지역난방,전체동 설치,LH서울,31.32㎡,13.85㎡,"14,922,000원","161,250원","19,000,000원"
서울등촌주공4단지,영구임대,서울특별시 강서구 공항대로39길 59,1995-05-05,"1,575",아파트,복도식,지역난방,전체동 설치,LH서울,26.37㎡,12.52㎡,"12,970,000원","144,070원","17,000,000원"
서울등촌주공4단지,영구임대,서울특별시 강서구 공항대로39길 59,1995-05-05,"1,575",아파트,복도식,지역난방,전체동 설치,LH서울,26.37㎡,12.75㎡,"12,970,000원","144,070원","17,000,000원"
서울등촌주공4단지,영구임대,서울특별시 강서구 공항대로39길 59,1995-05-05,"1,575",아파트,복도식,지역난방,전체동 설치,LH서울,26.37㎡,13.38㎡,"12,970,000원","144,070원","17,000,000원"
서울등촌주공4단지,영구임대,서울특별시 강서구 공항대로39길 59,1995-05-05,"1,575",아파트,복도식,지역난방,전체동 설치,LH서울,26.37㎡,14.21㎡,"12,970,000원","144,070원","17,000,000원"
래미안웰스트림(현석2구역),50년임대,서울특별시 마포구 토정로18길 11,2016-01-28,132,아파트,복도식,지역난방,전체동 설치,SH공사,59.33㎡,25.83㎡,"34,550,000원","213,000원",0원
래미안웰스트림(현석2구역),50년임대,서울특별시 마포구 토정로18길 11,2016-01-28,132,아파트,복도식,지역난방,전체동 설치,SH공사,39.4㎡,26.12㎡,"25,280,000원","155,800원",0원
래미안웰스트림(현석2구역),50년임대,서울특별시 마포구 토정로18길 11,2016-01-28,132,아파트,복도식,지역난방,전체동 설치,SH공사,39.15㎡,26.12㎡,"25,280,000원","155,800원",0원
래미안웰스트림(현석2구역),50년임대,서울특별시 마포구 토정로18길 11,2016-01-28,132,아파트,복도식,지역난방,전체동 설치,SH공사,49.16㎡,21.68㎡,"28,700,000원","176,900원",0원
중계4단지,50년임대,서울특별시 노원구 노원로19길 31,1991-11-30,"1,979",아파트,복도식,지역가스난방,전체동 설치,SH공사,49.89㎡,22.58㎡,"10,030,000원","149,100원",0원
중계4단지,50년임대,서울특별시 노원구 노원로19길 31,1991-11-30,"1,979",아파트,복도식,지역가스난방,전체동 설치,SH공사,32.76㎡,14.63㎡,"6,550,000원","97,400원",0원
중계4단지,50년임대,서울특별시 노원구 노원로19길 31,1991-11-30,"1,979",아파트,복도식,지역가스난방,전체동 설치,SH공사,39.82㎡,19.61㎡,"8,310,000원","123,300원",0원
중계4단지,50년임대,서울특별시 노원구 노원로19길 31,1991-11-30,"1,979",아파트,복도식,지역가스난방,전체동 설치,SH공사,39.96㎡,18.75㎡,"8,200,000원","122,000원",0원
중계4단지,50년임대,서울특별시 노원구 노원로19길 31,1991-11-30,"1,979",아파트,복도식,지역가스난방,전체동 설치,SH공사,49.54㎡,22.55㎡,"10,080,000원","149,800원",0원
중계4단지,50년임대,서울특별시 노원구 노원로19길 31,1991-11-30,"1,979",아파트,복도식,지역가스난방,전체동 설치,SH공사,49.54㎡,22.55㎡,"10,080,000원","149,800원",0원
중계4단지,50년임대,서울특별시 노원구 노원로19길 31,1991-11-30,"1,979",아파트,복도식,지역가스난방,전체동 설치,SH공사,49.89㎡,22.58㎡,"10,030,000원","149,100원",0원
등촌장기전세주택,장기전세,서울특별시 강서구 공항대로 359,2015-11-17,54,아파트,복도식,지역난방,전체동 설치,SH공사,49.79㎡,25.98㎡,"197,250,000원",0원,0원
상수2구역,50년임대,서울특별시 마포구 독막로20나길 21,2014-10-30,91,아파트,복도식,지역난방,전체동 설치,SH공사,52.17㎡,22.92㎡,"43,780,000원","223,700원",0원
상수2구역,50년임대,서울특별시 마포구 독막로20나길 21,2014-10-30,91,아파트,복도식,지역난방,전체동 설치,SH공사,34.28㎡,15.06㎡,"28,730,000원","146,800원",0원
상수2구역,50년임대,서울특별시 마포구 독막로20나길 21,2014-10-30,91,아파트,복도식,지역난방,전체동 설치,SH공사,40.14㎡,17.63㎡,"33,540,000원","171,400원",0원
종암2차SK뷰(종암6),50년임대,서울특별시 성북구 종암로24길 35,2010-10-29,68,아파트,복도식,개별가스난방,전체동 설치,SH공사,34.69㎡,17.12㎡,"23,870,000원","204,800원",0원
청계한신휴플러스,장기전세,서울특별시 동대문구 서울시립대로 14,2010-08-13,20,아파트,혼합식,개별가스난방,전체동 설치,SH공사,59.74㎡,21.68㎡,"296,250,000원",0원,0원
청계한신휴플러스,장기전세,서울특별시 동대문구 서울시립대로 14,2010-08-13,20,아파트,혼합식,개별가스난방,전체동 설치,SH공사,59.74㎡,20.82㎡,"212,800,000원",0원,0원
청계한신휴플러스,장기전세,서울특별시 동대문구 서울시립대로 14,2010-08-13,20,아파트,혼합식,개별가스난방,전체동 설치,SH공사,59.74㎡,20.99㎡,"144,800,000원",0원,0원
