"행정구역","2021년06월_계_총인구수","2021년06월_계_연령구간인구수","2021년06월_계_0~9세","2021년06월_계_10~19세","2021년06월_계_20~29세","2021년06월_계_30~39세","2021년06월_계_40~49세","2021년06월_계_50~59세","2021년06월_계_60~69세","2021년06월_계_70~79세","2021년06월_계_80~89세","2021년06월_계_90~99세","2021년06월_계_100세 이상","2021년06월_남_총인구수","2021년06월_남_연령구간인구수","2021년06월_남_0~9세","2021년06월_남_10~19세","2021년06월_남_20~29세","2021년06월_남_30~39세","2021년06월_남_40~49세","2021년06월_남_50~59세","2021년06월_남_60~69세","2021년06월_남_70~79세","2021년06월_남_80~89세","2021년06월_남_90~99세","2021년06월_남_100세 이상","2021년06월_여_총인구수","2021년06월_여_연령구간인구수","2021년06월_여_0~9세","2021년06월_여_10~19세","2021년06월_여_20~29세","2021년06월_여_30~39세","2021년06월_여_40~49세","2021년06월_여_50~59세","2021년06월_여_60~69세","2021년06월_여_70~79세","2021년06월_여_80~89세","2021년06월_여_90~99세","2021년06월_여_100세 이상"
"전국  (0000000000)","51,672,400","51,672,400","3,859,229","4,741,570","6,745,313","6,775,108","8,216,263","8,590,314","7,001,815","3,694,311","1,782,343","255,357","10,777","25,770,033","25,770,033","1,978,771","2,449,936","3,540,716","3,494,615","4,176,614","4,342,584","3,428,229","1,669,307","630,683","56,358","2,220","25,902,367","25,902,367","1,880,458","2,291,634","3,204,597","3,280,493","4,039,649","4,247,730","3,573,586","2,025,004","1,151,660","198,999","8,557"
"서울특별시  (1100000000)","9,565,990","9,565,990","602,526","766,572","1,443,208","1,452,328","1,501,071","1,506,232","1,269,804","696,049","284,923","40,808","2,469","4,649,442","4,649,442","309,269","392,686","696,930","725,714","743,762","741,675","599,745","317,147","111,573","10,322","619","4,916,548","4,916,548","293,257","373,886","746,278","726,614","757,309","764,557","670,059","378,902","173,350","30,486","1,850"
"부산광역시  (2600000000)","3,364,358","3,364,358","225,716","268,079","424,072","411,026","505,849","557,505","542,673","294,173","119,680","14,827","758","1,647,291","1,647,291","115,835","138,191","220,483","210,610","255,059","271,283","256,452","132,793","43,316","3,120","149","1,717,067","1,717,067","109,881","129,888","203,589","200,416","250,790","286,222","286,221","161,380","76,364","11,707","609"
"대구광역시  (2700000000)","2,397,646","2,397,646","172,618","221,070","316,026","288,200","377,140","420,147","336,363","175,664","80,372","9,677","369","1,182,380","1,182,380","88,391","115,414","168,478","150,467","186,244","205,925","160,010","76,951","28,376","2,054","70","1,215,266","1,215,266","84,227","105,656","147,548","137,733","190,896","214,222","176,353","98,713","51,996","7,623","299"
"인천광역시  (2800000000)","2,936,367","2,936,367","221,908","271,701","395,569","400,817","480,627","508,561","386,075","177,988","80,076","12,507","538","1,470,544","1,470,544","113,942","139,687","206,203","207,430","245,973","254,123","191,282","81,391","27,762","2,624","127","1,465,823","1,465,823","107,966","132,014","189,366","193,387","234,654","254,438","194,793","96,597","52,314","9,883","411"
"광주광역시  (2900000000)","1,442,647","1,442,647","116,423","154,106","207,952","182,779","237,840","233,886","168,355","93,901","41,202","5,968","235","713,793","713,793","59,751","79,838","108,529","93,495","118,137","116,153","80,209","41,692","14,694","1,267","28","728,854","728,854","56,672","74,268","99,423","89,284","119,703","117,733","88,146","52,209","26,508","4,701","207"
"대전광역시  (3000000000)","1,456,107","1,456,107","110,671","143,914","210,976","191,188","233,637","239,229","186,847","91,567","41,935","5,941","202","726,666","726,666","56,962","74,318","110,659","100,001","116,445","119,425","90,680","41,670","15,109","1,363","34","729,441","729,441","53,709","69,596","100,317","91,187","117,192","119,804","96,167","49,897","26,826","4,578","168"
"울산광역시  (3100000000)","1,126,369","1,126,369","94,865","110,623","141,167","147,880","185,339","206,852","151,599","61,411","23,433","3,118","82","578,924","578,924","48,733","58,175","79,565","78,655","94,670","105,071","76,386","29,261","7,882","515","11","547,445","547,445","46,132","52,448","61,602","69,225","90,669","101,781","75,213","32,150","15,551","2,603","71"
"세종특별자치시  (3600000000)","362,995","362,995","46,977","44,072","38,205","61,194","70,646","46,583","32,165","14,506","7,331","1,278","38","181,328","181,328","24,022","22,149","19,567","29,883","35,923","24,343","15,943","6,724","2,502","263","9","181,667","181,667","22,955","21,923","18,638","31,311","34,723","22,240","16,222","7,782","4,829","1,015","29"
"경기도  (4100000000)","13,500,688","13,500,688","1,122,836","1,325,609","1,810,989","1,899,205","2,296,204","2,246,038","1,614,361","768,438","361,517","53,180","2,311","6,795,088","6,795,088","574,897","681,461","953,842","980,546","1,168,087","1,138,575","802,781","349,795","132,036","12,513","555","6,705,600","6,705,600","547,939","644,148","857,147","918,659","1,128,117","1,107,463","811,580","418,643","229,481","40,667","1,756"
