hsmpSn,rtsSe,rtsInsttId,detailSn,rthousSe,rnAdres,houseTy,houseTyNm,hsmpNm,pnu,hshldCo,rnNm,atchFileId,suplyTy,suplyTyNm,insttDc,url,invntryAssetsAt,임대종류,준공일자,주택유형,건물형태,난방방식,승강기설치여부,공급면적(전용),공급면적(공용),임대보증금,임대료,전환보증금,x,y
30582404,2,B551452,Off,C,서울특별시 서초구 청계산로11길 7-12,11,아파트,서초포레스타7단지,1.16501110010615e+18,241,청계산로11길7-12,FLE00006702,7,장기전세,SH공사,http://www.i-sh.co.kr,Y,장기전세,2013-09-30,아파트,혼합식,개별난방,전체동 설치,84.79,38.63,280000000,0,0,37.4492987,127.0567359
30582404,2,B551452,Off,C,서울특별시 서초구 청계산로11길 7-12,11,아파트,서초포레스타7단지,1.16501110010615e+18,241,청계산로11길7-12,FLE00006702,7,장기전세,SH공사,http://www.i-sh.co.kr,Y,장기전세,2013-09-30,아파트,혼합식,개별난방,전체동 설치,49.39,22.46,348750000,0,0,37.4492987,127.0567359
30582404,2,B551452,Off,C,서울특별시 서초구 청계산로11길 7-12,11,아파트,서초포레스타7단지,1.16501110010615e+18,241,청계산로11길7-12,FLE00006702,7,장기전세,SH공사,http://www.i-sh.co.kr,Y,장기전세,2013-09-30,아파트,혼합식,개별난방,전체동 설치,59.94,27.73,442500000,0,0,37.4492987,127.0567359
30582404,2,B551452,Off,C,서울특별시 서초구 청계산로11길 7-12,11,아파트,서초포레스타7단지,1.16501110010615e+18,241,청계산로11길7-12,FLE00006702,7,장기전세,SH공사,http://www.i-sh.co.kr,Y,장기전세,2013-09-30,아파트,혼합식,개별난방,전체동 설치,59.98,27.94,442500000,0,0,37.4492987,127.0567359
30582404,2,B551452,Off,C,서울특별시 서초구 청계산로11길 7-12,11,아파트,서초포레스타7단지,1.16501110010615e+18,241,청계산로11길7-12,FLE00006702,7,장기전세,SH공사,http://www.i-sh.co.kr,Y,장기전세,2013-09-30,아파트,혼합식,개별난방,전체동 설치,59.92,27.97,397500000,0,0,37.4492987,127.0567359
30582404,2,B551452,Off,C,서울특별시 서초구 청계산로11길 7-12,11,아파트,서초포레스타7단지,1.16501110010615e+18,241,청계산로11길7-12,FLE00006702,7,장기전세,SH공사,http://www.i-sh.co.kr,Y,장기전세,2013-09-30,아파트,혼합식,개별난방,전체동 설치,59.57,28.45,442500000,0,0,37.4492987,127.0567359
30582404,2,B551452,Off,C,서울특별시 서초구 청계산로11길 7-12,11,아파트,서초포레스타7단지,1.16501110010615e+18,241,청계산로11길7-12,FLE00006702,7,장기전세,SH공사,http://www.i-sh.co.kr,Y,장기전세,2013-09-30,아파트,혼합식,개별난방,전체동 설치,59.89,28.43,442500000,0,0,37.4492987,127.0567359
30582404,2,B551452,Off,C,서울특별시 서초구 청계산로11길 7-12,11,아파트,서초포레스타7단지,1.16501110010615e+18,241,청계산로11길7-12,FLE00006702,7,장기전세,SH공사,http://www.i-sh.co.kr,Y,장기전세,2013-09-30,아파트,혼합식,개별난방,전체동 설치,84.33,38.72,280000000,0,0,37.4492987,127.0567359
30582404,2,B551452,Off,C,서울특별시 서초구 청계산로11길 7-12,11,아파트,서초포레스타7단지,1.16501110010615e+18,241,청계산로11길7-12,FLE00006702,7,장기전세,SH공사,http://www.i-sh.co.kr,Y,장기전세,2013-09-30,아파트,혼합식,개별난방,전체동 설치,84.67,38.86,391500000,0,0,37.4492987,127.0567359
30847978,2,B551452,Off,C,서울특별시 중랑구 신내로16길 33,11,아파트,신내 의료안심주택,1.12601060010314e+18,222,신내로16길33,XXX,2,국민임대,SH공사,http://www.i-sh.co.kr,Y,국민임대,2014-12-31,아파트,복도식,개별난방,전체동 설치,29.43,20.54,14210000,193500,0,37.6141744,127.0976630
