단지_일련번호,임대주택유형,공급기관명,주택명,주택유형,도로명주소,총세대수,10대미만(여자),10대미만(남자),10대(여자),10대(남자),20대(여자),20대(남자),30대(여자),30대(남자),40대(여자),40대(남자),50대(여자),50대(남자),60대(여자),60대(남자),70대(여자),70대(남자),80대(여자),80대(남자),90대(여자),90대(남자),100대(여자),100대(남자)
30485277,매입임대,성남시,매입임대주택,다세대주택,경기도 성남시 수정구 남문로102번길 19,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
30485278,매입임대,성남시,매입임대주택,다세대주택,경기도 성남시 수정구 남문로102번길 7-2,8,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
30485279,매입임대,성남시,매입임대주택,다세대주택,경기도 성남시 수정구 남문로102번길 7-4,7,0,0,0,0,4,2,2,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0
30485280,매입임대,성남시,매입임대주택,다세대주택,경기도 성남시 수정구 남문로52번길 9-11,10,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
30485281,매입임대,성남시,매입임대주택,다세대주택,경기도 성남시 수정구 남문로74번길 19,8,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
30485282,매입임대,성남시,매입임대주택,다세대주택,경기도 성남시 수정구 남문로78번길 11-1,7,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
30485283,매입임대,성남시,매입임대주택,다세대주택,경기도 성남시 수정구 남문로82번길 4,10,0,0,1,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0
30485284,매입임대,성남시,매입임대주택,다세대주택,경기도 성남시 수정구 남문로86번길 18-2,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
30485285,매입임대,성남시,매입임대주택,다세대주택,경기도 성남시 수정구 남문로86번길 3-1,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
30485286,매입임대,성남시,매입임대주택,다세대주택,경기도 성남시 수정구 남문로94번길 17-6,10,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
30485287,매입임대,성남시,매입임대주택,다세대주택,경기도 성남시 수정구 남문로94번길 8-1,10,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
30485288,매입임대,성남시,매입임대주택,다세대주택,경기도 성남시 수정구 논골로24번길 9-1,8,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
30485289,매입임대,성남시,매입임대주택,다세대주택,경기도 성남시 수정구 논골로47번길 2,4,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
