단지코드,총세대수,지역,공가수,도보 10분거리 내 지하철역 수(환승노선 수 반영),도보 10분거리 내 버스정류장 수,단지내주차면수,등록차량수,상가수,자격유형_major,공급유형_major,전용면적별세대수합,전용면적별세대수합_myhome,입주후기간(월),단지명,주소,총입주민수,준공후기간(월),차량미보유세대수,임대료,임대보증금,소형세대,중형세대,대형세대,전용면적,아파트수,차량보유인구비율,차량미보유세대비율
C2515,545,경상남도,17.0,0.0,3.0,624.0,205.0,0.0,A,국민임대,545,545,,미수휴먼시아,경상남도 통영시 미우지해안로 107,1196.0,133.0,0.0,119432.0,14035965.0,0.653211009174312,0.3467889908256881,0.0,39.0,7,0.4007868525896411,0.0
C1407,1216,대전광역시,13.0,1.0,1.0,1285.0,1064.0,0.0,A,국민임대,1216,1216,128.0,도안 휴먼시아 4단지,대전광역시 유성구 상대로 40,2886.0,128.0,0.0,171133.0,27604983.0,0.3207236842105263,0.6792763157894737,0.0,40.0,11,0.4171733404019149,0.0
C1945,755,경기도,6.0,1.0,3.0,734.0,730.0,0.0,B,국민임대,755,755,130.0,호평마을 주공휴먼시아,경기도 남양주시 늘을3로 8,2069.0,131.0,0.0,187414.0,22449146.0,0.31788079470198677,0.6821192052980133,0.0,50.0,6,0.42587549369457867,0.0
C1470,696,전라북도,14.0,0.0,2.0,645.0,553.0,0.0,A,국민임대,696,696,,장신휴먼시아1단지,전라북도 익산시 오산면 선화로4길 66,1751.0,129.0,0.0,125448.0,19393988.0,0.3649425287356322,0.6350574712643678,0.0,44.0,4,0.3846965003624857,0.0
C1898,566,전라북도,9.0,0.0,6.0,517.0,415.0,0.0,A,국민임대,566,566,,장신휴먼시아2단지,전라북도 익산시 오산면 선화로4길 24-9,1366.0,129.0,0.0,119608.0,17573065.0,0.4787985865724382,0.5212014134275619,0.0,43.0,6,0.3846965003624857,0.0
C1244,1722,경기도,10.0,0.0,10.0,1483.0,1804.0,0.0,A,국민임대,1722,1722,86.0,백현마을 3단지,경기도 성남시 분당구 동판교로 92,4959.0,86.0,0.0,265754.0,38710689.0,0.45760743321718933,0.5423925667828107,0.0,44.0,13,0.42587549369457867,0.0
C1171,624,대전광역시,13.0,0.0,5.0,634.0,700.0,0.0,A,국민임대,624,624,109.0,LH대전노은3지구4단지,대전광역시 유성구 지족로148번길 40,1287.0,109.0,0.0,158131.0,27334879.0,0.5673076923076923,0.4326923076923077,0.0,42.0,12,0.4171733404019149,0.0
C2073,361,강원도,13.0,0.0,5.0,288.0,301.0,0.0,A,국민임대,361,361,,횡성휴먼시아,강원도 횡성군 횡성읍 앞들서2로 34,944.0,119.0,0.0,185595.0,14957110.0,0.46537396121883656,0.5346260387811634,0.0,45.0,6,0.40053650767038274,0.0
C2513,754,광주광역시,15.0,0.0,6.0,530.0,820.0,0.0,A,국민임대,754,754,,광주백운 휴먼시아3단지,광주광역시 남구 백운로 100,2076.0,121.0,0.0,192249.0,32442999.0,0.0,1.0,0.0,52.0,3,0.41754416938850125,0.0
C1936,240,광주광역시,8.0,0.0,10.0,168.0,234.0,0.0,A,국민임대,240,240,,광주백운 휴먼시아2단지,광주광역시 남구 독립로80번길 8,703.0,117.0,0.0,192250.0,32443000.0,0.0,1.0,0.0,52.0,4,0.41754416938850125,0.0
C2049,688,강원도,0.0,0.0,5.0,631.0,841.0,0.0,A,국민임대,688,688,230.0,강릉교동 주공2차아파트,강원도 강릉시 가작로 85,1848.0,231.0,0.0,88355.0,15868906.0,0.0,1.0,0.0,53.0,3,0.40053650767038274,0.0
C2202,623,강원도,0.0,0.0,2.0,222.0,226.0,0.0,A,공공임대(50년),623,623,,강릉송정주공아파트,강원도 강릉시 하평길 55,1343.0,310.0,0.0,156850.0,10619874.0,0.14285714285714285,0.8571428571428571,0.0,43.0,3,0.40053650767038274,0.0
C1925,601,강원도,9.0,0.0,4.0,117.0,75.0,4.0,C,영구임대,596,596,319.0,입암주공3단지아파트,강원도 강릉시 강변로 510,802.0,319.0,596.0,137655.0,8613000.0,0.9916805324459235,0.0,0.0,29.0,2,0.40053650767038274,0.9916805324459235
C2576,405,경상남도,19.0,0.0,4.0,296.0,73.0,0.0,A,국민임대,405,405,,거제장평 주공3단지아파트,경상남도 거제시 장평2로 36,1368.0,157.0,0.0,178508.0,21438647.0,0.0,1.0,0.0,50.0,2,0.4007868525896411,0.0
C1312,518,충청남도,12.0,0.0,3.0,527.0,359.0,0.0,A,국민임대,517,517,26.0,신관주공6단지,충청남도 공주시 관골2길 36,1468.0,143.0,0.0,133601.0,21650738.0,0.2876447876447876,0.7104247104247104,0.0,43.0,4,0.4115356667900572,0.0
C1874,619,충청남도,2.0,0.0,2.0,97.0,62.0,27.0,C,영구임대,592,592,337.0,공주옥룡주공1차아파트,충청남도 공주시 우금티로 709-12,868.0,338.0,592.0,73202.0,3289497.0,0.9563812600969306,0.0,0.0,28.0,3,0.4115356667900572,0.9563812600969306
C2650,875,부산광역시,13.0,0.0,4.0,616.0,159.0,0.0,A,국민임대,875,875,,기장교리 주공아파트,부산광역시 기장군 기장읍 차성로397번길 7,1696.0,211.0,0.0,118267.0,12507840.0,0.6365714285714286,0.36342857142857143,0.0,39.0,3,0.3727848992815887,0.0
C2416,560,경상남도,0.0,0.0,5.0,154.0,63.0,8.0,C,영구임대,552,552,344.0,김해구산주공1단지아파트,경상남도 김해시 가락로 222,999.0,346.0,552.0,73639.0,3309479.0,0.9857142857142858,0.0,0.0,28.0,2,0.4007868525896411,0.9857142857142858
C2013,595,경상남도,3.0,0.0,3.0,509.0,91.0,0.0,A,국민임대,594,594,225.0,젤미마을 주공2단지,경상남도 김해시 능동로 76,1186.0,226.0,0.0,40875.0,15565262.0,0.5495798319327732,0.44873949579831934,0.0,41.0,3,0.4007868525896411,0.0
C1424,625,대전광역시,2.0,0.0,7.0,517.0,179.0,0.0,A,공공임대(50년),624,624,,구봉마을8-2단지,대전광역시 서구 관저로 84,1481.0,272.0,0.0,213882.0,18019061.0,0.4288,0.5696,0.0,46.0,3,0.4171733404019149,0.0
C2100,880,대전광역시,4.0,0.0,5.0,736.0,671.0,0.0,A,국민임대,880,880,40.0,느리울마을아파트 13단지,대전광역시 서구 관저동로 42,2650.0,225.0,0.0,94533.0,23638114.0,0.0,1.0,0.0,54.0,6,0.4171733404019149,0.0
C2621,1396,대전광역시,26.0,1.0,4.0,277.0,133.0,10.0,C,영구임대,1386,1386,,대전둔산3,대전광역시 서구 월평북로 13,2512.8,337.0,1386.0,84189.0,6091479.0,0.9806590257879656,0.012177650429799427,0.0,27.0,8,0.4171733404019149,0.9928366762177651
C2520,970,대전광역시,2.0,0.0,2.0,420.0,386.0,0.0,A,공공임대(50년),960,960,322.0,대전문화주공1단지,대전광역시 중구 보문산로161번길 55,1954.0,322.0,0.0,177500.0,13155000.0,0.9896907216494846,0.0,0.0,40.0,1,0.4171733404019149,0.0
C2319,606,대전광역시,1.0,1.0,12.0,548.0,266.0,0.0,A,국민임대,605,605,,대전반석마을4단지,대전광역시 유성구 반석로 46,1908.0,203.0,0.0,252962.0,18541277.0,0.0,0.9983498349834984,0.0,54.0,4,0.4171733404019149,0.0
C1616,1507,대전광역시,1.0,0.0,2.0,407.0,98.0,19.0,C,영구임대,1488,1488,367.0,법동 주공아파트3단지,대전광역시 대덕구 계족로663번길 34,2498.0,368.0,1488.0,68842.0,20708068.0,0.6887856668878567,0.298606502986065,0.0,31.0,3,0.4171733404019149,0.9873921698739216
C1704,639,대전광역시,34.0,0.0,7.0,162.0,131.0,15.0,C,영구임대,624,624,367.0,대전산내주공아파트,대전광역시 동구 산내로 1352-25,874.0,368.0,624.0,119984.0,8682212.0,0.9765258215962441,0.0,0.0,40.0,2,0.4171733404019149,0.9765258215962441
C2258,965,대전광역시,13.0,0.0,3.0,287.0,78.0,17.0,C,영구임대,948,948,356.0,중촌주공2단지,대전광역시 중구 대전천서로 695,1587.0,357.0,948.0,90864.0,6574405.0,0.7958549222797927,0.18652849740932642,0.0,30.0,3,0.4171733404019149,0.9823834196891191
C1032,946,대전광역시,6.0,1.0,2.0,986.0,316.0,0.0,A,국민임대,946,946,,천동휴먼시아1단지,대전광역시 동구 대전로542번길 78,3012.0,152.0,0.0,202453.0,30672146.0,0.07188160676532769,0.9281183932346723,0.0,55.0,6,0.4171733404019149,0.0
